formula,temperature_K,Fe_count,B_count,x_B,PotEng_norm_eV_per_atom,PotEng_norm_err_eV_per_atom,raw_PotEng_eV,raw_PotEng_err_eV,Enthalpy_norm_eV_per_atom,Enthalpy_norm_err_eV_per_atom,raw_Enthalpy_eV,raw_Enthalpy_err_eV,Free_norm_eV_per_atom,Free_norm_err_eV_per_atom,raw_Free_eV,raw_Free_err_eV
Fe324B36,1200.0,324,36,0.1,0.0937328717999986,0.0004107004576950415,-4846.792751,0.130645,0.09599151743333308,0.0008770020927365767,-4538.97667,0.213432,0.04839307851666711,0.0008770020927365767,-4809.693623,0.213432
Fe128B32,1200.0,128,32,0.2,0.03535897354444391,0.00048354117252821143,-2050.119858,0.071728,0.017096497672222634,0.0010866946113830805,-1921.146971,0.145377,-0.029209455438888553,0.0010866946113830805,-2035.654473,0.145377
Fe252B108,1200.0,252,108,0.3,-0.03184385526666631,0.00047730030216655366,-4381.925025,0.159367,-0.06940540125555686,0.0008809715729776248,-4108.923176,0.243409,-0.11386980467222195,0.0008809715729776248,-4353.292319,0.243409
Fe216B144,1200.0,216,144,0.4,-0.06274073268888855,0.0005066330391640097,-4138.010227,0.169882,-0.11605314393333338,0.0009346694910208909,-3880.918171,0.270631,-0.16265518515555438,0.0009346694910208909,-4113.447085,0.270631
Fe200B200,1200.0,200,200,0.5,-0.02854489538888913,0.0006123364450026509,-4300.735613,0.231749,-0.09482815744444452,0.001037427312674729,-4031.643315,0.346951,-0.14965705897222165,0.001037427312674729,-4279.288654,0.346951
Fe160B240,1200.0,160,240,0.6,0.05897096913333314,0.0006838683664459614,-3982.354074,0.259217,-0.008087273733332836,0.0011275717124592584,-3724.94897,0.380769,-0.07585689556666636,0.0011275717124592584,-3963.759732,0.380769
Fe120B280,1200.0,120,280,0.7,0.13922103365555472,0.0006469400057122606,-3666.878855,0.239746,0.08333521747777752,0.0011686542377535281,-3416.381982,0.386415,0.01584383033888912,0.0011686542377535281,-3641.070585,0.386415
Fe135B405,1200.0,135,405,0.75,0.15771512225925882,0.0006850675586312099,-4749.021391,0.342829,0.1081989756759261,0.0011548795988687638,-4415.090602,0.500156,0.045011738708334366,0.0011548795988687638,-4706.638641,0.500156
Fe72B288,1200.0,72,288,0.8,0.1787353381777766,0.0008792230402961018,-3030.928146,0.300987,0.13637428257777756,0.0013624659572189978,-2810.851528,0.415268,0.07890702346666735,0.0013624659572189978,-2996.852806,0.415268
Fe81B459,1200.0,81,459,0.85,0.16194846335555482,0.0009084935890914327,-4364.178876,0.465407,0.13410309873888848,0.0012831414913439033,-4033.905087,0.557129,0.08242866007685314,0.0012831414913439033,-4300.321547,0.557129
Fe54B486,1200.0,54,486,0.9,0.15650548853333374,0.0005137568212231197,-4175.839827,0.224001,0.141445040825925,0.001152344118390623,-3846.341794,0.446312,0.09587339853888908,0.001152344118390623,-4100.00541,0.446312
Fe324B36,1500.0,324,36,0.1,0.10945982429444538,0.0005767092997401306,-4826.778711,0.186368,0.1147747900111127,0.0010096790733062353,-4501.33627,0.29504,0.049855298255553904,0.0010096790733062353,-4875.541156,0.29504
Fe128B32,1500.0,128,32,0.2,0.03495472792222234,0.0009987617680859233,-2043.775104,0.155245,0.01616998124444482,0.0016802329783510677,-1907.624004,0.251954,-0.04335857593333259,0.0016802329783510677,-2065.934512,0.251954
Fe252B108,1500.0,252,108,0.3,-0.014104804561110186,0.0006343818265345553,-4361.048854,0.213032,-0.049377569188889144,0.0011480931130173372,-4071.071135,0.346821,-0.11482363901111196,0.0011480931130173372,-4413.334576,0.346821
Fe216B144,1500.0,216,144,0.4,-0.03532814259999858,0.0006920336717163018,-4113.582694,0.234901,-0.08593289739999964,0.0012548846601023185,-3839.551061,0.375396,-0.15483926597777894,0.0012548846601023185,-4166.994703,0.375396
Fe200B200,1500.0,200,200,0.5,0.0034254388055563823,0.0008021396396324861,-4271.69427,0.305861,-0.05634508088888879,0.0014121986567013378,-3982.466061,0.466254,-0.14108565683333382,0.0014121986567013378,-4334.77545,0.466254
