formula,temperature_K,Fe_count,B_count,x_B,Free_norm_eV_per_atom,Free_norm_err_eV_per_atom
Fe324B36,1500.0,324,36,0.1,0.05407021308333305,0.00131496914832916
Fe128B32,1500.0,128,32,0.2,-0.004690142999999836,0.0018149133424954298
Fe252B108,1500.0,252,108,0.3,-0.05791801852777591,0.0013246948897348396
Fe216B144,1500.0,216,144,0.4,-0.0818744732222222,0.0014694951591551894
Fe200B200,1500.0,200,200,0.5,-0.054979843750001006,0.0012957351727140606
Fe160B240,1500.0,160,240,0.6,0.011297838499999671,0.0012643393757472933
Fe120B280,1500.0,120,280,0.7,0.08431265824999969,0.0014610068460528137
Fe135B405,1500.0,135,405,0.75,0.1177505895138876,0.0013875496939135784
Fe72B288,1500.0,72,288,0.8,0.09365778300000077,0.004170031459032158
Fe81B459,1500.0,81,459,0.85,0.10220668389351802,0.004013672692189013
Fe54B486,1500.0,54,486,0.9,0.062650378305556,0.0017832538255675167
Fe324B36,1800.0,324,36,0.1,0.04445136717222198,0.001325378050967472
Fe128B32,1800.0,128,32,0.2,-0.01592045934999966,0.0018290080652216996
Fe252B108,1800.0,252,108,0.3,-0.060682265038889224,0.0014312822990037084
Fe216B144,1800.0,216,144,0.4,-0.08174018808888946,0.0013724273572891807
Fe200B200,1800.0,200,200,0.5,-0.06525684975000104,0.0012936713134340855
Fe160B240,1800.0,160,240,0.6,-0.015824192799999536,0.001399667405829085
Fe120B280,1800.0,120,280,0.7,0.050313471650000566,0.0014991858771100741
Fe135B405,1800.0,135,405,0.75,0.0868398803101846,0.0014115690330494216
Fe72B288,1800.0,72,288,0.8,0.1242185030444451,0.0017170355170344456
Fe81B459,1800.0,81,459,0.85,0.16164110355648095,0.00164619327815841
Fe54B486,1800.0,54,486,0.9,0.1354319938833332,0.006572242535188074
