formula,temperature_K,Average_PotEng_eV,Average_Enthalpy_eV
Fe324B36,1500.0,-2823.800614,-2507.429837
Fe128B32,1500.0,-1247.197508,-1113.959058
Fe252B108,1500.0,-2780.450308,-2495.868093
Fe216B144,1500.0,-2740.509903,-2471.077860
Fe200B200,1500.0,-2978.215933,-2694.703900
Fe160B240,1500.0,-2884.693800,-2614.206395
Fe135B405,1500.0,-3676.332519,-3321.350842
Fe120B280,1500.0,-2775.948932,-2511.389344
Fe81B459,1500.0,-3541.683825,-3192.831769
Fe72B288,1500.0,-2406.960349,-2172.245710
Fe54B486,1500.0,-3504.511977,-3155.238237
