formula,temperature_K,x_B,PV_norm_eV_per_atom,PV_norm_err_eV_per_atom
Fe324B36,1500.0,0.1,0.0042446058333333505,0.0006972939803691709
Fe128B32,1500.0,0.2,-0.01839941333333328,0.0011210250300011802
Fe252B108,1500.0,0.3,-0.03588409083333332,0.0008167344113836554
Fe216B144,1500.0,0.4,-0.05147788500000002,0.000957365148753348
Fe200B200,1500.0,0.5,-0.06085980583333327,0.0010323160169749513
Fe160B240,1500.0,0.6,-0.05972309499999994,0.0012133190569678734
Fe120B280,1500.0,0.7,-0.050460916666666654,0.001264425783184124
Fe135B405,1500.0,0.75,-0.04348400995370364,0.0012210453842597868
Fe72B288,1500.0,0.8,-0.03773490888888891,0.0013472317858416942
Fe81B459,1500.0,0.85,-0.028091187453703665,0.0013132620800930409
Fe54B486,1500.0,0.9,-0.015540099351851843,0.0013682926229131329
