formula,temperature_K,x_B,PotEng_norm_eV_per_atom,PotEng_norm_err_eV_per_atom
Fe324B36,1800.0,0.1,0.15370404156111464,0.0006783183434567627
Fe128B32,1800.0,0.2,0.099185796511113,0.0012019763535946514
Fe252B108,1800.0,0.3,0.05729470146111326,0.000851600104788957
Fe216B144,1800.0,0.4,0.05255573557777906,0.0008253322619828652
Fe200B200,1800.0,0.5,0.09966488302777975,0.0007524054134935103
Fe160B240,1800.0,0.6,0.18223414103333424,0.0006647661632531021
Fe120B280,1800.0,0.7,0.2649687065388906,0.0007147794880344266
Fe135B405,1800.0,0.75,0.3007256767453715,0.0006577404725497861
Fe72B288,1800.0,0.8,0.33484696926666846,0.0008027536586005727
Fe81B459,1800.0,0.85,0.3622531025287058,0.0007833041649606671
Fe54B486,1800.0,0.9,0.3037734848648159,0.006443430971205863
