temperature_K,composition,pressure,mean_fraction,sem,n_frames
1800.0,Fe120B280,0 GPa,0.07535714,0.00443682,10
1800.0,Fe120B280,10 GPa,0.10357143,0.00482106,10
1800.0,Fe135B405,0 GPa,0.12567901,0.00832416,10
1800.0,Fe135B405,10 GPa,0.18024691,0.00574955,10
1800.0,Fe72B288,0 GPa,0.17812500,0.00858434,10
1800.0,Fe72B288,10 GPa,0.24305556,0.01278398,10
1800.0,Fe81B459,0 GPa,0.23572985,0.00463642,10
1800.0,Fe81B459,10 GPa,0.31742919,0.00893010,10
1800.0,Fe54B486,0 GPa,0.51728395,0.00831122,10
1800.0,Fe54B486,10 GPa,0.39094650,0.00604968,10
