frame,timestep,group,system,region,element,n_atoms,target_z,z_tolerance,msd,msd_x,msd_y,msd_z,drift_x,drift_y,drift_z
0,0,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0,0,0,0,0,0,0
1,100,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.1881263257310569,0.03191968358702257,0.05988463482726785,0.0963220073167665,-0.005520208049134112,-0.0009836759045533938,0.05198663542730131
2,200,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.3922369008664273,0.02897450762124439,0.06080167325391183,0.3024607199912711,-0.009347457238249035,-0.001665699552617639,0.08802446843349188
3,300,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.3354700643550543,0.03024511843694785,0.1087560917882452,0.1964688541298613,-0.007579340484998198,-0.001349556210358926,0.07136997529145717
4,400,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.2650233805189912,0.03002227038779644,0.1083028249373291,0.1266982851938656,-0.005392875958269983,-0.0009614328405742611,0.05078638828823756
5,500,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.2358495630453701,0.03142721931584975,0.09451443956827364,0.1099079041612468,-0.006130575381144254,-0.00109302237790132,0.05773463851196325
6,600,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.3093676148207797,0.06002587051427755,0.05400694158344768,0.1953348027230545,-0.007955364215520788,-0.001417455566162573,0.07491133862611221
7,700,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.3295738376218009,0.0495228622467405,0.08214277990212196,0.1979081954729384,-0.007647868006921854,-0.001362662849761165,0.07202243504201533
8,800,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.2547768909595818,0.04032813577415827,0.05680641329382927,0.1576423418915943,-0.006405922918546025,-0.001141399744881255,0.06031393545763208
9,900,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.2219018055763322,0.06670937785903615,0.02702795424125273,0.1281644734760433,-0.006547201456681861,-0.001167652449762357,0.06165138432287876
10,1000,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.3345573109919414,0.06171632894061643,0.03524059729411341,0.2376003847572116,-0.007439494287449833,-0.001325520565886862,0.07005476169426927
11,1100,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.2732905458137921,0.0314224322480804,0.044903048124889,0.1969650654408227,-0.00759163196376722,-0.00135316993847745,0.07149266687296674
12,1200,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.2621187486882752,0.03884760540858182,0.04793912583620705,0.1753320174434864,-0.006936995661071421,-0.001237829586166583,0.06532885285773204
13,1300,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.213337455221338,0.04713607148407453,0.06183158314015316,0.1043698005971103,-0.006503069943041062,-0.001158709118767476,0.06123738240593113
14,1400,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.2171594052590425,0.02764782683412905,0.06662426852894839,0.1228873098959651,-0.006635558233394789,-0.0011824508394227,0.06248350896922972
15,1500,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.2478101154973911,0.02606365178190993,0.06800281264121633,0.1537436510742649,-0.007004920569649187,-0.00124782575929494,0.0659615496283017
16,1600,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.3260242795906815,0.03325284569430081,0.06617567958800845,0.2265957543083722,-0.006862945971714218,-0.001223238960665896,0.06463079895926072
17,1700,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.2748161776193873,0.03402662877761905,0.05427527106935909,0.1865142777724091,-0.006729005437682289,-0.001199224945150235,0.06336679927372302
18,1800,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.2815635966489395,0.04421011653675247,0.04208486953009181,0.1952686105820952,-0.007290461032550155,-0.001298901318511625,0.06865340130264741
19,1900,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.2600036497451331,0.03088086058430838,0.04273979083603027,0.1863829983247945,-0.00749986141767689,-0.001336229414276247,0.07062826953268697
20,2000,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.2789031593046161,0.06397177801557963,0.03860176559708259,0.1763296156919539,-0.007003395074185903,-0.001247821331094912,0.06595591914239662
21,2100,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.2646360325867774,0.0760517824251639,0.04393000467495823,0.1446542454866553,-0.006577748422928131,-0.001172419418667303,0.06194204446827456
22,2200,B_bulk_B,B,bulk,B,48,0.10627;0.16710,0.01,0.3025198173126312,0.09655725045158646,0.04018991252212096,0.1657726543389238,-0.006896904904580836,-0.00122900881248178,0.06494728538449124
