frame,timestep,group,system,region,element,n_atoms,target_z,z_tolerance,msd,msd_x,msd_y,msd_z,drift_x,drift_y,drift_z
0,0,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0,0,0,0,0,0,0
1,100,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.3136046708378489,0.07318644087137123,0.0878789401846447,0.152539289781833,-0.005520208049134112,-0.0009836759045533938,0.05198663542730131
2,200,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.4590967375462524,0.09612466505040052,0.1137651158436451,0.2492069566522068,-0.009347457238249035,-0.001665699552617639,0.08802446843349188
3,300,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.3953920849344327,0.1098996225388942,0.1052990379587715,0.1801934244367669,-0.007579340484998198,-0.001349556210358926,0.07136997529145717
4,400,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.3053401369168872,0.08793085638459643,0.1391221550735331,0.07828712545875759,-0.005392875958269983,-0.0009614328405742611,0.05078638828823756
5,500,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.3701688095175376,0.1003505983573085,0.1356227153889046,0.1341954957713245,-0.006130575381144254,-0.00109302237790132,0.05773463851196325
6,600,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.4156856569353844,0.1060571796414966,0.09928004149806445,0.2103484357958233,-0.007955364215520788,-0.001417455566162573,0.07491133862611221
7,700,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.3800666514683818,0.07432509359660931,0.07686157694636414,0.2288799809254083,-0.007647868006921854,-0.001362662849761165,0.07202243504201533
8,800,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.3752898582504789,0.1289686090246135,0.07729046653060979,0.1690307826952556,-0.006405922918546025,-0.001141399744881255,0.06031393545763208
9,900,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.304643392421308,0.09244601990500539,0.07754987893348145,0.1346474935828212,-0.006547201456681861,-0.001167652449762357,0.06165138432287876
10,1000,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.315747590580583,0.0760721798989195,0.1009905031887143,0.1386849074929491,-0.007439494287449833,-0.001325520565886862,0.07005476169426927
11,1100,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.3497304619945255,0.1009777906288723,0.09374766816745576,0.1550050031981974,-0.00759163196376722,-0.00135316993847745,0.07149266687296674
12,1200,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.3771547999675242,0.09110514188774826,0.09260941883859515,0.1934402392411808,-0.006936995661071421,-0.001237829586166583,0.06532885285773204
13,1300,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.2823293994843488,0.0681978441215401,0.07275877806429065,0.141372777298518,-0.006503069943041062,-0.001158709118767476,0.06123738240593113
14,1400,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.3465679699398279,0.08032293802577591,0.119116393355227,0.1471286385588249,-0.006635558233394789,-0.0011824508394227,0.06248350896922972
15,1500,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.2992681934071953,0.06887277039606093,0.09325375502643847,0.1371416679846959,-0.007004920569649187,-0.00124782575929494,0.0659615496283017
16,1600,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.3060201474867112,0.09401994526840464,0.06928580037502412,0.1427144018432825,-0.006862945971714218,-0.001223238960665896,0.06463079895926072
17,1700,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.3588319667311258,0.08762540304434395,0.07489099897535026,0.1963155647114316,-0.006729005437682289,-0.001199224945150235,0.06336679927372302
18,1800,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.4159875078065201,0.1104792844587759,0.1004914792617631,0.205016744085981,-0.007290461032550155,-0.001298901318511625,0.06865340130264741
19,1900,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.3626431795428258,0.1002883261142136,0.08513534447785942,0.1772195089507528,-0.00749986141767689,-0.001336229414276247,0.07062826953268697
20,2000,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.4860558328104754,0.1424940238419354,0.1279128272885472,0.2156489816799927,-0.007003395074185903,-0.001247821331094912,0.06595591914239662
21,2100,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.3732132659550457,0.1360646738932517,0.1169418791067478,0.1202067129550462,-0.006577748422928131,-0.001172419418667303,0.06194204446827456
22,2200,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.3802666730326639,0.1464500720289974,0.0991731643159638,0.1346434366877027,-0.006896904904580836,-0.00122900881248178,0.06494728538449124
23,2300,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.4404258223358251,0.1875705907906927,0.07959381540091108,0.1732614161442213,-0.007170066207975445,-0.001277746579734895,0.06751852064809682
24,2400,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.5580066574501168,0.2413594106595995,0.1310080349227257,0.1856392118677915,-0.007146870201574451,-0.001272929649053012,0.06729721541246647
25,2500,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.5195755949871678,0.2117496818226648,0.09703227104373389,0.2107936421207691,-0.007127785070098369,-0.001271023177549679,0.06711681987770746
26,2600,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.5335446868109832,0.1923918428998231,0.1842236652330996,0.1569291786780605,-0.007220560458326197,-0.001285735974379421,0.06799937971575076
27,2700,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.7396205863726903,0.3587396841052535,0.2141838744540357,0.1666970278134011,-0.007363616719771038,-0.001311876444018978,0.06934103548865878
28,2800,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.9555626709666588,0.4048001573870365,0.372234809943784,0.1785277036358383,-0.00715110008351072,-0.001275311726647743,0.06734005620372585
29,2900,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.7690027950813966,0.3708523411526834,0.2331405516762928,0.1650099022524204,-0.006764329203669206,-0.001205482362571786,0.06370313271107975
30,3000,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.8207855742943345,0.4203937793733539,0.1959816850718504,0.2044101098491302,-0.007027873624170233,-0.001252703554371237,0.06618299936071281
31,3100,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.9663614846995285,0.4101746812419083,0.3012666521141539,0.2549201513434662,-0.007900777691226324,-0.001408200645430568,0.07439849422137712
32,3200,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.7954294502844294,0.3583009096633099,0.2440905786594476,0.1930379619616719,-0.007939338351280689,-0.001414506580738717,0.07477129522604287
33,3300,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.8161091856242637,0.3742959318574846,0.272041583937043,0.1697716698297361,-0.00706717850734595,-0.00125977086612572,0.06655278037609591
34,3400,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.8078583362182526,0.3681191054918929,0.2500419274885443,0.1896973032378154,-0.006757270089241096,-0.001204369832734642,0.06363421157968574
35,3500,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.8124186554041835,0.3197706496161062,0.275612169574725,0.2170358362133523,-0.007150747252064882,-0.001274716786243246,0.06733247188141434
36,3600,B_interface_B,B,interface,B,48,0.45169;0.90469,0.01,0.8379835941808371,0.3094994284982094,0.2609281244859852,0.2675560411966425,-0.007471166599602341,-0.001332001483632439,0.07036051699957824
