frame,timestep,group,system,region,element,n_atoms,target_z,z_tolerance,msd,msd_x,msd_y,msd_z,drift_x,drift_y,drift_z
0,0,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0,0,0,0,0,0,0
1,100,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1307825682662794,0.02397530940377209,0.04824047483586263,0.05856678402664472,-0.005520208049134112,-0.0009836759045533938,0.05198663542730131
2,200,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.179379288751024,0.05835524459147443,0.0340350716477917,0.08698897251175784,-0.009347457238249035,-0.001665699552617639,0.08802446843349188
3,300,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1226760950919555,0.03835383156559478,0.04661273208890977,0.037709531437451,-0.007579340484998198,-0.001349556210358926,0.07136997529145717
4,400,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1067770490635047,0.02668795392172561,0.03701445341406664,0.04307464172771244,-0.005392875958269983,-0.0009614328405742611,0.05078638828823756
5,500,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1173908584300067,0.03381585870321318,0.04464687232006994,0.03892812740672358,-0.006130575381144254,-0.00109302237790132,0.05773463851196325
6,600,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1740159361699676,0.08451961644420547,0.03959913506313051,0.0498971846626316,-0.007955364215520788,-0.001417455566162573,0.07491133862611221
7,700,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1618050470277349,0.05504430839310728,0.06130648284363274,0.04545425579099486,-0.007647868006921854,-0.001362662849761165,0.07202243504201533
8,800,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1105855745306671,0.04460767671395158,0.02829341621889233,0.03768448159782317,-0.006405922918546025,-0.001141399744881255,0.06031393545763208
9,900,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1201975311396379,0.03745689512670922,0.03159789660980186,0.05114273940312681,-0.006547201456681861,-0.001167652449762357,0.06165138432287876
10,1000,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1201591323376706,0.03784969302415615,0.03817598278437877,0.04413345652913563,-0.007439494287449833,-0.001325520565886862,0.07005476169426927
11,1100,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1212321258842886,0.02793974118330417,0.04816349288041088,0.04512889182057359,-0.00759163196376722,-0.00135316993847745,0.07149266687296674
12,1200,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1466446454602248,0.03955369076784485,0.0495600117453997,0.05753094294698021,-0.006936995661071421,-0.001237829586166583,0.06532885285773204
13,1300,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1231124707928003,0.0456597129836884,0.04465675304468263,0.03279600476442924,-0.006503069943041062,-0.001158709118767476,0.06123738240593113
14,1400,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1123312728633888,0.02130964671315771,0.04344172544263481,0.0475799007075963,-0.006635558233394789,-0.0011824508394227,0.06248350896922972
15,1500,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1203863062819856,0.029597745683386,0.03741641828745899,0.05337214231114059,-0.007004920569649187,-0.00124782575929494,0.0659615496283017
16,1600,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1162260157518139,0.0376648392390446,0.0373769648166449,0.04118421169612438,-0.006862945971714218,-0.001223238960665896,0.06463079895926072
17,1700,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1444872914299466,0.04088902954327542,0.04591291349918972,0.0576853483874815,-0.006729005437682289,-0.001199224945150235,0.06336679927372302
18,1800,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1323135209270554,0.02884803916449694,0.05094226158233003,0.05252322018022846,-0.007290461032550155,-0.001298901318511625,0.06865340130264741
19,1900,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1013726331376945,0.02736547742483933,0.03353011251175866,0.04047704320109651,-0.00749986141767689,-0.001336229414276247,0.07062826953268697
20,2000,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1329605372506288,0.04956158904684771,0.04611524172740983,0.03728370647637125,-0.007003395074185903,-0.001247821331094912,0.06595591914239662
21,2100,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1613463918842994,0.06761506249103807,0.03997369067309205,0.05375763872016928,-0.006577748422928131,-0.001172419418667303,0.06194204446827456
22,2200,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.16979829368096,0.0826452589313581,0.04092068587910048,0.04623234887050142,-0.006896904904580836,-0.00122900881248178,0.06494728538449124
23,2300,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1755362955536346,0.06263500757082356,0.06226402123865935,0.0506372667441517,-0.007170066207975445,-0.001277746579734895,0.06751852064809682
24,2400,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1403049472787784,0.04491165435011103,0.03174891619255415,0.06364437673611323,-0.007146870201574451,-0.001272929649053012,0.06729721541246647
25,2500,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1825090407824966,0.07357697587547142,0.05393490846911594,0.05499715643790921,-0.007127785070098369,-0.001271023177549679,0.06711681987770746
26,2600,FeB_bulk_B,FeB,bulk,B,48,0.64905;0.70184,0.01,0.1785205467911486,0.09031910202825999,0.04886674711962632,0.03933469764326225,-0.007220560458326197,-0.001285735974379421,0.06799937971575076
