frame,timestep,group,system,region,element,n_atoms,target_z,z_tolerance,msd,msd_x,msd_y,msd_z,drift_x,drift_y,drift_z
0,0,FeB_bulk_Fe,FeB,bulk,Fe,48,0.66051;0.69036,0.01,0,0,0,0,0,0,0
1,100,FeB_bulk_Fe,FeB,bulk,Fe,48,0.66051;0.69036,0.01,0.1324446740957379,0.05259129356680754,0.049668905154825,0.03018447537410536,-0.005520208049134112,-0.0009836759045533938,0.05198663542730131
2,200,FeB_bulk_Fe,FeB,bulk,Fe,48,0.66051;0.69036,0.01,0.1594048132625804,0.04700299926590956,0.04394405533788401,0.06845775865878688,-0.009347457238249035,-0.001665699552617639,0.08802446843349188
3,300,FeB_bulk_Fe,FeB,bulk,Fe,48,0.66051;0.69036,0.01,0.1243820350432707,0.05121994747710646,0.03416185568222223,0.03900023188394201,-0.007579340484998198,-0.001349556210358926,0.07136997529145717
4,400,FeB_bulk_Fe,FeB,bulk,Fe,48,0.66051;0.69036,0.01,0.1098814396090141,0.03314801405787002,0.04629170270934841,0.03044172284179568,-0.005392875958269983,-0.0009614328405742611,0.05078638828823756
5,500,FeB_bulk_Fe,FeB,bulk,Fe,48,0.66051;0.69036,0.01,0.09703194057991617,0.03855435332935118,0.03431657479917772,0.02416101245138727,-0.006130575381144254,-0.00109302237790132,0.05773463851196325
6,600,FeB_bulk_Fe,FeB,bulk,Fe,48,0.66051;0.69036,0.01,0.1708699130056864,0.08506150981058348,0.03873310712868834,0.04707529606641455,-0.007955364215520788,-0.001417455566162573,0.07491133862611221
7,700,FeB_bulk_Fe,FeB,bulk,Fe,48,0.66051;0.69036,0.01,0.1297382080981671,0.04629189640026157,0.04829775625086762,0.03514855544703793,-0.007647868006921854,-0.001362662849761165,0.07202243504201533
8,800,FeB_bulk_Fe,FeB,bulk,Fe,48,0.66051;0.69036,0.01,0.1125835942563611,0.05673782175167405,0.0257161898216276,0.03012958268305945,-0.006405922918546025,-0.001141399744881255,0.06031393545763208
9,900,FeB_bulk_Fe,FeB,bulk,Fe,48,0.66051;0.69036,0.01,0.1221313382007005,0.05802250541998316,0.03422320158170978,0.0298856311990076,-0.006547201456681861,-0.001167652449762357,0.06165138432287876
10,1000,FeB_bulk_Fe,FeB,bulk,Fe,48,0.66051;0.69036,0.01,0.1202931048031362,0.03583690434718626,0.03983338856353567,0.04462281189241429,-0.007439494287449833,-0.001325520565886862,0.07005476169426927
