frame,timestep,group,system,region,element,n_atoms,target_z,z_tolerance,msd,msd_x,msd_y,msd_z,drift_x,drift_y,drift_z
0,0,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,0,0,0,0,0,0,0
1,100,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,0.2684265556068075,0.06317363548828304,0.07088995634355114,0.1343629637749733,-0.005520208049134112,-0.0009836759045533938,0.05198663542730131
2,200,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,0.2829099075029438,0.06638606223016465,0.08355180249175842,0.1329720427810207,-0.009347457238249035,-0.001665699552617639,0.08802446843349188
3,300,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,0.2172401638018174,0.06086312182597538,0.05906054766773378,0.09731649430810825,-0.007579340484998198,-0.001349556210358926,0.07136997529145717
4,400,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,0.2487373302144805,0.06076156878782159,0.1046199691651283,0.08335579226153055,-0.005392875958269983,-0.0009614328405742611,0.05078638828823756
5,500,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,0.249999297485632,0.04432361798113747,0.08077269976298145,0.1249029797415131,-0.006130575381144254,-0.00109302237790132,0.05773463851196325
6,600,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,0.3322377326281424,0.05504246851136472,0.09890483779605118,0.1782904263207264,-0.007955364215520788,-0.001417455566162573,0.07491133862611221
7,700,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,0.5340408435781034,0.07403516305421995,0.2004567684540425,0.259548912069841,-0.007647868006921854,-0.001362662849761165,0.07202243504201533
8,800,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,0.427488140301863,0.06037371122096125,0.2114919795831892,0.1556224494977125,-0.006405922918546025,-0.001141399744881255,0.06031393545763208
9,900,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,0.410229251086319,0.09158715203382684,0.1613622854146647,0.1572798136378275,-0.006547201456681861,-0.001167652449762357,0.06165138432287876
10,1000,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,0.4972253691366897,0.08752448973747683,0.2412447598501793,0.1684561195490336,-0.007439494287449833,-0.001325520565886862,0.07005476169426927
11,1100,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,0.4353917208330756,0.1062150462002844,0.1649232744785673,0.1642534001542238,-0.00759163196376722,-0.00135316993847745,0.07149266687296674
12,1200,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,0.5004357457879848,0.1086062602660868,0.2049724365867407,0.1868570489351573,-0.006936995661071421,-0.001237829586166583,0.06532885285773204
13,1300,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,0.5005466959940994,0.1190578231727136,0.1962635484830693,0.1852253243383166,-0.006503069943041062,-0.001158709118767476,0.06123738240593113
14,1400,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,0.4017176281263422,0.07553757596526538,0.2071870731116116,0.1189929790494652,-0.006635558233394789,-0.0011824508394227,0.06248350896922972
15,1500,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,0.4454266957172712,0.06796107524785187,0.2194688895377204,0.157996730931699,-0.007004920569649187,-0.00124782575929494,0.0659615496283017
16,1600,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,0.4261457099246,0.05839244905279245,0.2044815560918981,0.1632717047799095,-0.006862945971714218,-0.001223238960665896,0.06463079895926072
17,1700,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,0.442048398631212,0.04471942719957241,0.2040124740384903,0.1933164973931493,-0.006729005437682289,-0.001199224945150235,0.06336679927372302
18,1800,FeB_interface_B,FeB,interface,B,48,0.48506;0.86386,0.01,0.4274180427916251,0.05917186614415474,0.1916380160182224,0.176608160629248,-0.007290461032550155,-0.001298901318511625,0.06865340130264741
