frame,timestep,group,system,region,element,n_atoms,target_z,z_tolerance,msd,msd_x,msd_y,msd_z,drift_x,drift_y,drift_z
0,0,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,0,0,0,0,0,0,0
1,100,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,0.2971690837076736,0.1328821060810319,0.06257879007368343,0.1017081875529583,-0.005520208049134112,-0.0009836759045533938,0.05198663542730131
2,200,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,0.3813366286948839,0.1179698855900723,0.06477228983840326,0.1985944532664084,-0.009347457238249035,-0.001665699552617639,0.08802446843349188
3,300,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,0.3288063386363388,0.1450725583519965,0.0631838181442433,0.120549962140099,-0.007579340484998198,-0.001349556210358926,0.07136997529145717
4,400,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,0.2230375788063079,0.08788513326663605,0.06202437053908957,0.07312807500058231,-0.005392875958269983,-0.0009614328405742611,0.05078638828823756
5,500,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,0.2919061539503135,0.1193291592692184,0.0767612168558011,0.09581577782529399,-0.006130575381144254,-0.00109302237790132,0.05773463851196325
6,600,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,0.306560910717497,0.110688153394743,0.0675508815161889,0.1283218758065651,-0.007955364215520788,-0.001417455566162573,0.07491133862611221
7,700,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,0.2940464832678312,0.1062938090285959,0.06177535863302614,0.1259773156062092,-0.007647868006921854,-0.001362662849761165,0.07202243504201533
8,800,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,0.2705590401191343,0.1037489346138502,0.04821824767281873,0.1185918578324655,-0.006405922918546025,-0.001141399744881255,0.06031393545763208
9,900,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,0.2904537912192753,0.1283852008262245,0.08515766540250397,0.07691092499054682,-0.006547201456681861,-0.001167652449762357,0.06165138432287876
10,1000,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,0.2626332075347989,0.1323390028701948,0.05615872914197292,0.07413547552263114,-0.007439494287449833,-0.001325520565886862,0.07005476169426927
