group,system,region,element,atom_id,fractional_z,target_z,delta_z,z_tolerance
FeB_interface_B,FeB,interface,B,433,0.4876025375,0.48506,0.002542537541,0.01
FeB_interface_B,FeB,interface,B,436,0.4876025088,0.48506,0.002542508813,0.01
FeB_interface_B,FeB,interface,B,439,0.4877751107,0.48506,0.002715110748,0.01
FeB_interface_B,FeB,interface,B,442,0.4877807662,0.48506,0.002720766196,0.01
FeB_interface_B,FeB,interface,B,445,0.4875708128,0.48506,0.00251081283,0.01
FeB_interface_B,FeB,interface,B,448,0.4875751428,0.48506,0.002515142787,0.01
FeB_interface_B,FeB,interface,B,451,0.487424927,0.48506,0.00236492701,0.01
FeB_interface_B,FeB,interface,B,454,0.4874223579,0.48506,0.002362357893,0.01
FeB_interface_B,FeB,interface,B,457,0.4859829683,0.48506,0.0009229683421,0.01
FeB_interface_B,FeB,interface,B,460,0.4859826167,0.48506,0.0009226167258,0.01
FeB_interface_B,FeB,interface,B,463,0.4850563974,0.48506,3.602598743e-06,0.01
FeB_interface_B,FeB,interface,B,466,0.4850564275,0.48506,3.57250875e-06,0.01
FeB_interface_B,FeB,interface,B,469,0.4822844593,0.48506,0.002775540736,0.01
FeB_interface_B,FeB,interface,B,472,0.4822884138,0.48506,0.002771586199,0.01
FeB_interface_B,FeB,interface,B,475,0.4850575459,0.48506,2.454084247e-06,0.01
FeB_interface_B,FeB,interface,B,478,0.485053848,0.48506,6.152040136e-06,0.01
FeB_interface_B,FeB,interface,B,481,0.4823332124,0.48506,0.002726787603,0.01
FeB_interface_B,FeB,interface,B,484,0.4823287133,0.48506,0.002731286673,0.01
FeB_interface_B,FeB,interface,B,487,0.4850874777,0.48506,2.747774801e-05,0.01
FeB_interface_B,FeB,interface,B,490,0.4850896442,0.48506,2.964422795e-05,0.01
FeB_interface_B,FeB,interface,B,493,0.4859823037,0.48506,0.0009223037017,0.01
FeB_interface_B,FeB,interface,B,496,0.4859820973,0.48506,0.000922097331,0.01
FeB_interface_B,FeB,interface,B,499,0.4849716968,0.48506,8.830324355e-05,0.01
FeB_interface_B,FeB,interface,B,502,0.4849735237,0.48506,8.647631205e-05,0.01
FeB_interface_B,FeB,interface,B,507,0.8632901822,0.86386,0.0005698177893,0.01
FeB_interface_B,FeB,interface,B,510,0.863291473,0.86386,0.0005685270471,0.01
FeB_interface_B,FeB,interface,B,513,0.8661599551,0.86386,0.002299955091,0.01
FeB_interface_B,FeB,interface,B,516,0.8661600505,0.86386,0.002300050539,0.01
FeB_interface_B,FeB,interface,B,519,0.8641515165,0.86386,0.000291516544,0.01
FeB_interface_B,FeB,interface,B,522,0.8641524758,0.86386,0.0002924758292,0.01
FeB_interface_B,FeB,interface,B,525,0.8635841077,0.86386,0.0002758922725,0.01
FeB_interface_B,FeB,interface,B,528,0.8635855328,0.86386,0.0002744671697,0.01
FeB_interface_B,FeB,interface,B,531,0.8638621408,0.86386,2.140846595e-06,0.01
FeB_interface_B,FeB,interface,B,534,0.8638634964,0.86386,3.496389358e-06,0.01
FeB_interface_B,FeB,interface,B,537,0.8705219285,0.86386,0.006661928462,0.01
FeB_interface_B,FeB,interface,B,540,0.870521077,0.86386,0.006661077015,0.01
FeB_interface_B,FeB,interface,B,543,0.87052641,0.86386,0.006666409984,0.01
FeB_interface_B,FeB,interface,B,546,0.8705272259,0.86386,0.006667225943,0.01
FeB_interface_B,FeB,interface,B,549,0.8638578267,0.86386,2.173256028e-06,0.01
FeB_interface_B,FeB,interface,B,552,0.8638591315,0.86386,8.684955849e-07,0.01
FeB_interface_B,FeB,interface,B,555,0.8635885259,0.86386,0.0002714740602,0.01
FeB_interface_B,FeB,interface,B,558,0.8635877953,0.86386,0.000272204746,0.01
FeB_interface_B,FeB,interface,B,561,0.8641489222,0.86386,0.0002889221717,0.01
FeB_interface_B,FeB,interface,B,564,0.864148424,0.86386,0.0002884239852,0.01
FeB_interface_B,FeB,interface,B,567,0.8661690691,0.86386,0.002309069114,0.01
FeB_interface_B,FeB,interface,B,570,0.8661705101,0.86386,0.002310510055,0.01
FeB_interface_B,FeB,interface,B,573,0.8632781731,0.86386,0.0005818268952,0.01
FeB_interface_B,FeB,interface,B,576,0.86327773,0.86386,0.0005822700049,0.01
FeB_interface_Fe,FeB,interface,Fe,147,0.8768889973,0.87591,0.0009789972835,0.01
FeB_interface_Fe,FeB,interface,Fe,150,0.8768904988,0.87591,0.0009804988483,0.01
FeB_interface_Fe,FeB,interface,Fe,153,0.8785768151,0.87591,0.002666815068,0.01
FeB_interface_Fe,FeB,interface,Fe,156,0.8785764563,0.87591,0.002666456326,0.01
