comp,P_GPa,T_K,x_B,rho_tot,rho_x,c2_FF,c2_FB,c2_BB,H_FF,H_FB,H_BB,M,C,d2g_dx2,is_slab_4_6,disag,d2g_dx2_2,d2g_dx2_rdf
1_9,0,1500,0.1,0.0832979,-0.0672481,-50.9581,-18.3626,-36.4474,6.58684,2.37355,4.71119,0.545678,-0.239282,-1.429209897,0,3.80943,0.306396,3.051590951
2_8,0,1500,0.2,0.0898757,-0.0640276,-59.9168,-17.551,-45.8025,7.74485,2.26865,5.92043,0.820384,-0.23374,10.46088847,0,1.14029,0.586644,4.971489476
3_7,0,1500,0.3,0.0960559,-0.0593919,-63.1345,-23.0171,-51.0879,8.16077,2.97519,6.60362,0.846638,-0.150937,13.75193055,0,3.06348,0.695701,5.816238833
4_6,0,1500,0.4,0.10173,-0.0540555,-66.555,-21.931,-46.0199,8.6029,2.8348,5.94854,0.903554,-0.119753,17.74842759,1,0.888312,0.783801,6.44353501
5_5,0,1500,0.5,0.106875,-0.048948,-94.1984,-35.5689,-51.6342,12.1761,4.59763,6.67423,1.03188,-0.134652,21.44642015,0,1.20137,0.897227,7.322306447
6_4,0,1500,0.6,0.111562,-0.0450965,-85.6234,-37.0994,-43.0272,11.0677,4.79547,5.5617,0.785221,-0.0924095,11.44631482,0,1.03609,0.692812,5.640289946
7_3,0,1500,0.7,0.11597,-0.0435376,-81.7265,-44.7077,-38.1318,10.564,5.77891,4.92892,0.456349,-0.0884037,-2.311480924,0,0.213906,0.367945,3.015122928
7.5_2.5,0,1500,0.75,0.118153,-0.0439411,-81.8506,-44.4009,-37.7211,10.58,5.73926,4.87583,0.469932,-0.0816322,0.935187601,0,0.343282,0.3883,3.17601984
8_2,0,1500,0.8,0.120381,-0.0453138,-52.7855,-39.6652,-27.2899,6.82305,5.12712,3.52749,0.0115923,-0.0733581,-5.550656981,0,3.18947,-0.0617658,-0.375515337
8.5_1.5,0,1500,0.85,0.122704,-0.0478069,-52.0338,-47.5122,-31.3719,6.72589,6.14142,4.05513,-0.184279,-0.0889694,-6.264347447,0,13.7517,-0.273248,-1.983699374
9_1,0,1500,0.9,0.125183,-0.0515961,-17.4188,-44.7161,-27.5142,2.25155,5.78001,3.55649,-0.720048,-0.0850469,-11.11111107,0,4.23211,-0.805095,-5.931948142
1_9,0,1800,0.1,0.0815919,-0.0626788,-52.6944,-19.1823,-34.7488,8.17354,2.97541,5.38996,0.621133,-0.278097,1.022933599,0,2.91613,0.343036,2.794775032
2_8,0,1800,0.2,0.0876999,-0.0592719,-59.5338,-18.7857,-40.3498,9.2344,2.91388,6.25875,0.847653,-0.260052,6.225754316,0,1.33813,0.587601,4.149190442
3_7,0,1800,0.3,0.0934148,-0.0549285,-64.0785,-24.0316,-45.8408,9.93935,3.72758,7.11045,0.89628,-0.183097,10.73901074,0,1.93987,0.713183,4.956918396
4_6,0,1800,0.4,0.0986806,-0.0504394,-66.804,-24.2465,-40.8586,10.3621,3.76093,6.33765,0.905681,-0.147788,11.79460581,1,0.771747,0.757893,5.183557152
5_5,0,1800,0.5,0.103529,-0.0467514,-89.5428,-35.7333,-46.5676,13.8892,5.54267,7.22319,1.03809,-0.155822,13.46218644,0,0.789827,0.882269,5.995939038
6_4,0,1800,0.6,0.108091,-0.0448755,-82.2374,-37.0141,-40.0804,12.756,5.74132,6.21695,0.809638,-0.113109,9.130270513,0,0.677067,0.696529,4.76439997
7_3,0,1800,0.7,0.1126,-0.0458568,-81.9229,-41.1666,-37.9297,12.7072,6.38544,5.88335,0.655294,-0.103086,3.499951449,0,0.360314,0.552209,3.792632309
7.5_2.5,0,1800,0.75,0.114936,-0.0477708,-79.0652,-41.8484,-36.1786,12.264,6.49119,5.61174,0.562417,-0.100452,4.077397671,0,0.334597,0.461965,3.212191969
8_2,0,1800,0.8,0.117396,-0.050852,-64.3829,-32.7442,-27.4854,9.98655,5.07902,4.26332,0.480365,-0.0830956,4.279619908,0,0.566004,0.397269,2.748759731
8.5_1.5,0,1800,0.85,0.120044,-0.0553019,-79.9424,-42.0317,-34.6272,12.4,6.51962,5.37109,0.56803,-0.102768,4.208591962,0,0.579531,0.465262,3.253111939
9_1,0,1800,0.9,0.122953,-0.0613721,-54.1081,-44.4966,-30.8886,8.39281,6.90195,4.7912,-0.0762175,-0.125737,-11.11111097,0,11.4303,-0.201954,-0.983319805
