formula,temperature_K,Fe_count,B_count,x_B,PotEng_norm_eV_per_atom,PotEng_norm_err_eV_per_atom,raw_PotEng_eV,raw_PotEng_err_eV,Enthalpy_norm_eV_per_atom,Enthalpy_norm_err_eV_per_atom,raw_Enthalpy_eV,raw_Enthalpy_err_eV,Free_norm_eV_per_atom,Free_norm_err_eV_per_atom,raw_Free_eV,raw_Free_err_eV
Fe324B36,1200.0,324,36,0.1,0.10671761212777714,0.0004862301273234571,-4837.5616,0.150037,0.1070614134277781,0.0008283356422437393,-4781.998226,0.234838,0.05625239730000118,0.0008283356422437393,-5065.936956,0.234838
Fe128B32,1200.0,128,32,0.2,0.03791268747777714,0.0007190521438624725,-2047.855692,0.108972,0.037279621966665746,0.0011589911130435297,-2023.317184,0.167511,-0.010781089899999863,0.0011589911130435297,-2143.072354,0.167511
Fe252B108,1200.0,252,108,0.3,-0.016446348283332354,0.0006666572467568333,-4372.588494,0.226839,-0.015942647272224993,0.0009987492494285663,-4316.967674,0.307994,-0.06337054376666819,0.0009987492494285663,-4572.688785,0.307994
Fe216B144,1200.0,216,144,0.4,-0.043740375711111154,0.0010180127752460683,-4127.758278,0.358369,-0.04299504984444569,0.001307585700698333,-4072.050532,0.425047,-0.09428957679999901,0.001307585700698333,-4315.663422,0.425047
Fe200B200,1200.0,200,200,0.5,-0.012300754805555697,0.0007741377341703226,-4290.871054,0.297222,-0.0112974965833331,0.0011965405172235544,-4228.870451,0.406727,-0.07169506900000044,0.0011965405172235544,-4488.192427,0.406727
Fe160B240,1200.0,160,240,0.6,0.09527389443333391,0.0006645118817721471,-3964.89001,0.24944,0.09535653389999936,0.0011920463585964305,-3903.25772,0.381435,0.012797648800000162,0.0011920463585964305,-4156.44399,0.381435
Fe120B280,1200.0,120,280,0.7,0.14905109367222338,0.001044346505223682,-3660.427946,0.405689,0.1500948968833336,0.0014527617892935055,-3598.411256,0.482194,0.07555030660000056,0.0014527617892935055,-3833.391577,0.482194
Fe135B405,1200.0,135,405,0.75,0.16374948014352042,0.000983117950710175,-4742.648549,0.511844,0.16429559948611078,0.0014035804948440802,-4659.194811,0.598388,0.09347957100925905,0.0014035804948440802,-4964.279665,0.598388
Fe72B288,1200.0,72,288,0.8,0.09981556457777793,0.0008113006220898609,-3057.453876,0.274902,0.0995940065333337,0.0014137428239562042,-3002.094444,0.388374,0.045641849399999046,0.0014137428239562042,-3192.663249,0.388374
Fe81B459,1200.0,81,459,0.85,0.11142462493796251,0.0004944220086235556,-4388.919872,0.216941,0.11288099876574051,0.0012484863913111144,-4304.974685,0.426296,0.06187242408703797,0.0012484863913111144,-4579.113202,0.426296
