comp,P_GPa,T_K,x_B,rho_tot,rho_x,c2_FF,c2_FB,c2_BB,H_FF,H_FB,H_BB,M,C,d2g_dx2,is_slab_4_6,disag,d2g_dx2_old,d2g_dx2_3
1_9,10,1500,0.1,0.0892303,-0.0635866,-46.6053,-18.2256,-32.5971,6.0242,2.35585,4.21351,0.493088,-0.19812,0.694983617,0,4.0889,0.294968,2.779903569
2_8,10,1500,0.2,0.0957779,-0.0672193,-55.5983,-17.4259,-35.1414,7.18663,2.25248,4.54238,0.691906,-0.234551,-1.919216762,0,0.883869,0.457355,3.980431518
3_7,10,1500,0.3,0.102636,-0.0696957,-59.6513,-21.6345,-54.6456,7.71053,2.79648,7.06349,0.942305,-0.150524,13.65491718,0,3.15835,0.791782,6.704625138
4_6,10,1500,0.4,0.109657,-0.070367,-62.7185,-20.0162,-44.3266,8.10699,2.5873,5.72965,0.949854,-0.144595,19.38850205,1,1.10433,0.805259,6.790223258
5_5,10,1500,0.5,0.116624,-0.068478,-98.0087,-36.6867,-54.3859,12.6686,4.74213,7.02992,1.19123,-0.193063,23.51083108,0,0.906374,0.998165,8.444307165
6_4,10,1500,0.6,0.123241,-0.0632553,-88.4264,-36.6843,-45.3012,11.43,4.74181,5.85564,0.961531,-0.126952,15.61066615,0,1.31465,0.834579,6.960979372
7_3,10,1500,0.7,0.129142,-0.0540662,-88.4635,-41.4547,-41.2934,11.4348,5.35844,5.33758,0.782021,-0.0993467,8.465326686,0,0.453434,0.682674,5.560629092
7.5_2.5,10,1500,0.75,0.131695,-0.047878,-85.1569,-44.7636,-39.5758,11.0074,5.78614,5.11557,0.599304,-0.0865748,5.700662032,0,0.309578,0.512729,4.130908948
8_2,10,1500,0.8,0.133913,-0.0406364,-69.2964,-35.4718,-30.8712,8.95726,4.58509,3.99041,0.505854,-0.0548661,0.942846536,0,0.413996,0.450988,3.565304083
8.5_1.5,10,1500,0.85,0.135742,-0.0323996,-84.3193,-44.3426,-39.0954,10.8991,5.73172,5.05348,0.609368,-0.043792,-0.927397104,0,0.124983,0.565576,4.392929345
9_1,10,1500,0.9,0.137138,-0.0232724,-85.7475,-42.0308,-37.2122,11.0837,5.4329,4.81005,0.689524,-0.0261964,3.771167686,0,0.72717,0.663328,5.060099466
1_9,10,1800,0.1,0.0879571,-0.0600964,-48.23,-18.8512,-41.3533,7.48105,2.92405,6.4144,0.707821,-0.225497,3.962614703,0,3.29158,0.482324,3.564885068
2_8,10,1800,0.2,0.0941234,-0.0631128,-56.206,-17.6535,-45.6871,8.71822,2.73827,7.08662,0.972135,-0.247042,8.0991537,0,1.22118,0.725093,5.08889505
3_7,10,1800,0.3,0.10055,-0.065239,-60.4903,-23.0802,-49.2193,9.38278,3.58002,7.6345,0.991147,-0.185643,12.64657119,0,2.47669,0.805504,5.727826417
4_6,10,1800,0.4,0.107127,-0.0660356,-63.0729,-22.1213,-42.4449,9.78337,3.43128,6.58372,1.01819,-0.168409,17.51618295,1,0.948803,0.849782,5.992390189
5_5,10,1800,0.5,0.113696,-0.0649997,-92.8458,-35.7212,-48.4047,14.4015,5.54079,7.50816,1.23111,-0.224033,15.32344299,0,0.916251,1.00708,7.091337702
6_4,10,1800,0.6,0.120048,-0.0616113,-87.0823,-36.3387,-42.354,13.5075,5.63656,6.56962,1.05691,-0.159483,12.48144745,0,1.13073,0.897423,6.244692607
7_3,10,1800,0.7,0.125925,-0.0554147,-87.5142,-41.4958,-39.8425,13.5745,6.4365,6.18005,0.866555,-0.128613,8.120286954,0,0.451504,0.737942,5.054943115
7.5_2.5,10,1800,0.75,0.128592,-0.0511654,-86.313,-42.9422,-38.6733,13.3882,6.66085,5.99869,0.779936,-0.111462,6.953278404,0,0.333362,0.668475,4.522450614
8_2,10,1800,0.8,0.131028,-0.0461294,-69.0643,-34.6655,-29.9528,10.7127,5.37703,4.64604,0.603344,-0.0762023,5.952316432,0,0.495268,0.527141,3.510237081
8.5_1.5,10,1800,0.85,0.133192,-0.0403194,-90.1475,-44.5373,-38.4638,13.983,6.90827,5.96619,0.816816,-0.0750737,6.438228506,0,0.459205,0.741743,4.847363875
9_1,10,1800,0.9,0.135048,-0.0337733,-88.0856,-45.0913,-38.0268,13.6631,6.99421,5.89842,0.752639,-0.0558309,7.356866474,0,0.613445,0.696808,4.507391629
