B_index,POSCAR_index,x_A,y_A,z_A,coordination_B,n_ring_3,n_ring_4,n_ring_5,n_ring_6,n_ring_7,n_ring_8
1,55,5.824784,3.986118,4.336170,5,3,0,1,0,0,3
2,56,5.026781,5.071321,1.330534,5,5,0,1,0,0,0
3,57,6.251873,2.799369,0.127207,4,0,0,2,3,0,0
4,58,4.711627,2.253450,7.844658,6,4,1,0,3,0,0
5,59,1.918592,6.346973,4.851099,5,2,1,0,0,2,0
6,60,0.912802,6.377464,2.938038,7,6,0,2,0,2,0
7,61,4.952584,3.867233,0.043254,6,5,0,2,1,0,0
8,62,3.554046,5.792402,1.056771,5,3,0,0,1,0,0
9,63,3.639481,4.120470,0.948420,5,3,0,0,1,0,0
10,64,1.723586,5.824960,6.697913,4,1,1,0,1,1,0
11,65,6.917071,5.912827,2.659935,4,2,0,1,1,0,0
12,66,4.786487,4.957922,8.623932,3,0,0,0,3,0,0
13,67,2.320632,1.149381,8.391566,4,1,0,3,1,0,0
14,68,5.346347,2.457343,6.035947,6,5,0,1,1,0,0
15,69,4.840195,5.437416,4.349331,4,1,1,0,0,0,1
16,70,6.333625,1.738391,1.750476,4,1,0,0,2,0,0
17,71,2.736204,2.221645,1.587341,5,2,1,0,1,0,0
18,72,1.563186,3.873748,7.342188,4,1,0,1,1,1,0
19,73,6.610175,1.229471,5.714811,5,3,0,2,0,0,0
20,74,3.104693,1.287152,7.076655,5,3,0,1,1,0,0
21,75,0.175422,3.301886,1.348209,5,3,1,0,0,0,0
22,76,4.332260,1.638847,2.195239,3,1,0,0,1,0,0
23,77,1.085286,1.481766,3.821744,5,2,1,1,0,1,0
24,78,5.865111,1.712330,9.008490,6,5,1,0,3,0,0
25,79,1.013120,7.806572,4.616954,5,4,0,1,0,3,0
26,80,6.851043,7.262086,5.669930,4,1,1,0,1,0,2
27,81,6.422767,2.397809,7.316076,7,7,0,1,1,0,0
28,82,0.888381,0.905255,5.758922,4,1,0,2,0,1,0
29,83,2.409213,6.714144,8.431179,6,5,0,0,1,0,0
30,84,3.524489,2.682936,6.265325,4,3,0,0,0,0,0
31,85,2.386206,7.221565,1.654968,5,3,0,3,1,0,0
32,86,0.665406,0.323047,0.769131,4,3,0,0,0,1,0
33,87,6.809317,3.733201,6.343475,6,5,0,0,2,0,0
34,88,7.162743,1.856240,3.063978,5,4,0,0,0,0,2
35,89,1.847238,2.140652,6.797136,5,2,0,2,0,0,0
36,90,5.385182,5.334401,7.204883,3,1,0,0,2,0,0
37,91,2.882544,2.260645,3.259395,3,1,1,0,0,0,0
38,92,3.391857,5.886418,4.945460,2,0,0,0,0,0,0
39,93,6.825774,5.607357,1.047879,5,2,0,2,2,0,0
40,94,3.899971,7.561268,7.654964,4,3,0,0,0,0,0
41,95,3.917994,6.347846,8.806839,4,2,0,0,1,0,0
42,96,1.128733,5.033933,3.878481,4,2,1,0,0,3,0
43,97,0.219625,4.905642,5.958320,4,1,1,0,0,5,0
44,98,0.649413,7.547667,1.427447,6,5,0,2,0,1,1
45,99,1.294376,0.703588,2.415873,5,3,1,0,0,1,0
46,100,5.906046,5.315302,5.799133,5,3,1,0,0,0,2
47,101,6.113925,7.017327,3.729285,5,2,1,2,0,0,1
48,102,1.093814,1.984243,1.237196,5,3,1,0,0,0,0
49,103,4.312883,3.543796,8.938000,4,0,1,0,4,0,0
50,104,1.539471,7.831886,9.241377,6,5,1,0,0,1,0
51,105,1.198940,3.826982,9.007597,6,5,0,1,1,1,0
52,106,7.229677,0.044724,6.795126,5,3,0,1,1,0,0
53,107,7.477534,3.648936,4.066296,4,1,0,1,0,0,6
54,108,14.508175,4.892097,2.796877,5,3,0,0,0,0,0
55,109,13.462193,3.439247,2.430525,5,5,0,0,0,0,0
56,110,8.026832,6.355260,4.102488,5,4,0,1,1,0,2
57,111,8.340530,7.273828,6.741080,4,1,0,1,1,0,1
58,112,12.988733,0.587192,3.641361,3,1,0,0,0,1,1
59,113,7.763346,1.726991,4.536150,5,4,0,1,0,0,1
60,114,9.018103,4.092006,4.296250,3,1,0,0,0,0,6
61,115,7.390911,2.260502,8.952313,6,5,0,1,1,0,0
62,116,14.062810,1.598445,4.731959,4,1,0,0,0,2,1
63,117,10.632009,7.094046,2.896043,6,6,0,0,1,0,0
64,118,7.526399,3.905681,1.064956,3,0,0,2,2,0,0
65,119,13.414025,5.624404,6.537350,3,0,0,1,0,5,0
66,120,11.141727,2.260710,4.228079,2,0,0,0,0,0,1
67,121,8.589795,0.832170,5.644202,6,4,0,1,1,0,0
68,122,8.802827,7.252110,2.961279,6,4,0,2,3,0,0
69,123,9.183554,3.780407,0.671808,6,5,0,0,2,0,0
70,124,11.877924,4.159293,1.563894,8,9,0,2,0,0,0
71,125,12.924081,7.333553,5.962820,4,2,0,1,0,4,0
72,126,11.708776,7.937862,7.013462,5,2,0,1,0,2,0
73,127,9.032044,0.259678,1.709951,6,4,0,0,3,0,3
74,128,12.834996,5.056605,2.803251,5,4,0,1,0,0,0
75,129,10.439087,3.788054,3.716706,5,2,0,3,0,0,4
76,130,11.129586,7.007612,8.285433,5,3,0,1,0,1,0
77,131,9.747653,1.892547,0.661278,6,5,0,0,3,0,3
78,132,9.334937,1.944797,6.743118,3,0,0,1,0,1,0
79,133,11.723917,5.294655,3.883175,6,5,0,3,0,0,0
80,134,10.563668,4.903490,0.624430,8,9,0,3,0,0,0
81,135,10.396006,3.271454,1.916359,6,5,0,3,0,0,4
82,136,9.454796,5.635919,6.711134,3,0,0,1,1,1,1
83,137,8.409494,0.439384,3.716452,6,5,0,0,1,0,2
84,138,8.256618,7.253566,8.684107,6,3,0,2,0,0,0
85,139,9.777459,6.305086,1.409287,5,3,0,2,4,0,0
86,140,10.030576,5.252052,4.920253,5,3,0,0,1,1,3
87,141,12.397054,5.919729,8.168413,6,4,0,1,0,1,0
88,142,13.140443,1.451934,0.715252,5,4,0,1,0,0,0
89,143,13.661033,4.099548,0.400559,6,6,0,0,0,0,0
