formula,temperature_K,x_B,PotEng_norm_eV_per_atom,PotEng_norm_err_eV_per_atom
Fe324B36,1500.0,0.1,0.10945982429444538,0.0005767092997401306
Fe128B32,1500.0,0.2,0.03495472792222234,0.0009987617680859233
Fe252B108,1500.0,0.3,-0.014104804561110186,0.0006343818265345553
Fe216B144,1500.0,0.4,-0.03516930926666583,0.0007031627384191964
Fe200B200,1500.0,0.5,0.0034254388055563823,0.0008021396396324861
Fe160B240,1500.0,0.6,0.10842986576666704,0.0006440765886203811
Fe120B280,1500.0,0.7,0.19507983522777805,0.0006429885894584987
Fe135B405,1500.0,0.75,0.2204734501898151,0.00067263702381603
Fe72B288,1500.0,0.8,0.2340541108000006,0.0011131376504063281
Fe81B459,1500.0,0.85,0.22497024363240817,0.0011707199421074825
Fe54B486,1500.0,0.9,0.20765028016851964,0.002176747828936864
