formula,temperature_K,Cr_count,B_count,x_B,PotEng_norm_eV_per_atom,PotEng_norm_err_eV_per_atom,raw_PotEng_eV,raw_PotEng_err_eV,Enthalpy_norm_eV_per_atom,Enthalpy_norm_err_eV_per_atom,raw_Enthalpy_eV,raw_Enthalpy_err_eV,Free_norm_eV_per_atom,Free_norm_err_eV_per_atom,raw_Free_eV,raw_Free_err_eV
Cr288B32,1500.0,288,32,0.1,0.18843231525277773,0.0006647472468803392,-4347.129089,0.176083,0.18852071054166658,0.0011313075674402617,-4285.537507,0.231928,-0.011267534802778468,0.0011313075674402617,-4661.990861,0.231928
Cr240B60,1500.0,240,60,0.2,0.07098624275555532,0.0009739184830973166,-3886.778703,0.273694,0.07134216983333298,0.0013436098023123335,-3828.958227,0.321232,-0.0788729723555546,0.0013436098023123335,-4154.575824,0.321232
Cr224B96,1500.0,224,96,0.3,-0.11830085349166737,0.00115916842423162,-3967.654605,0.356777,-0.11734613150000044,0.0015395593162306587,-3905.789834,0.423347,-0.18979618740833396,0.0015395593162306587,-4214.965919,0.423347
Cr216B144,1500.0,216,144,0.4,-0.23421785348889032,0.0007635033763506091,-4236.675183,0.252159,-0.23343426033333337,0.0013128111594372562,-4167.141192,0.374996,-0.2805169942666655,0.0013128111594372562,-4490.909462,0.374996
Cr160B160,1500.0,160,160,0.5,-0.3049340003611114,0.000978647025298832,-3549.748114,0.29786,-0.3045158110416665,0.0015134226542976395,-3488.059069,0.401788,-0.33911819001388893,0.0015134226542976395,-3758.594849,0.401788
Cr240B360,1500.0,240,360,0.6,-0.27948250973333416,0.0010143846419709854,-6192.72954,0.579027,-0.27852291383333294,0.0015155248050436818,-6076.74152,0.722553,-0.324168011733334,0.0015155248050436818,-6565.750756,0.722553
Cr144B336,1500.0,144,336,0.7,-0.17770800660555608,0.003931638011098375,-4547.110047,1.88038,-0.17713805100000002,0.004119692960595353,-4454.509685,1.916128,-0.23324154991111168,0.004119692960595353,-4830.84032,1.916128
Cr120B360,1500.0,120,360,0.75,-0.058696070666666364,0.0021642222083801997,-4310.873406,1.025337,-0.059818172708332895,0.002492516773218404,-4219.086745,1.079734,-0.1356782156666668,0.002492516773218404,-4594.952128,1.079734
Cr80B320,1500.0,80,320,0.8,0.02664623152222248,0.001258136599334054,-3408.998491,0.481775,0.027870221833333063,0.0018632911146172545,-3331.572431,0.591763,-0.05421270392222141,0.0018632911146172545,-3638.992409,0.591763
Cr81B459,1500.0,81,459,0.85,0.05907121324814768,0.0016167423762887788,-4383.138697,0.848403,0.05982992484722319,0.002105416968016566,-4278.866469,0.936043,-0.011730947177777664,0.002105416968016566,-4677.009588,0.936043
Cr54B486,1500.0,54,486,0.9,0.0602739063629618,0.0022341578893600796,-4180.989467,1.186892,0.06071561147222282,0.0026362953132120052,-4076.890125,1.250524,0.001270542622223224,0.0026362953132120052,-4457.298768,1.250524
Cr288B32,1800.0,288,32,0.1,-0.03661434453333232,0.0011927799058813466,-4326.881316,0.169542,-0.03705068461111179,0.001525451818773266,-4252.829636,0.269644,-0.0426975732777791,0.001525451818773266,-4741.729116,0.269644
Cr240B60,1800.0,240,60,0.2,-0.09742174939999851,0.0011903695928813904,-3858.693856,0.212649,-0.09853227088888825,0.0016602122578362796,-3789.5027,0.355649,-0.09189926488889019,0.0016602122578362796,-4220.691214,0.355649
Cr224B96,1800.0,224,96,0.3,-0.21802213822500036,0.0014559460225041197,-3924.132665,0.378224,-0.21778414258333356,0.0017586409316457125,-3849.929282,0.443745,-0.16390092670833525,0.0017586409316457125,-4269.708131,0.443745
Cr216B144,1800.0,216,144,0.4,-0.34260932691111,0.0016452084342535487,-4200.301117,0.526634,-0.34257019899999963,0.0019021128092055466,-4116.929951,0.574215,-0.25322339422222245,0.0019021128092055466,-4548.249328,0.574215
Cr160B160,1800.0,160,160,0.5,-0.3729861819166665,0.0015217416146870786,-3512.922014,0.437515,-0.3725321818055548,0.0019320232301884052,-3438.713594,0.522865,-0.3008652301388892,0.0019320232301884052,-3802.73065,0.522865
Cr240B360,1800.0,240,360,0.6,-0.29917085386666636,0.0017185630298211549,-6110.440381,0.965931,-0.2989362959999994,0.0020440777762717197,-5971.491338,1.046355,-0.27898098799999993,0.0020440777762717197,-6638.108744,1.046355
Cr144B336,1800.0,144,336,0.7,-0.10498459331666651,0.0009178724675883806,-4449.543541,0.349343,-0.10482055227777683,0.0015499958004915723,-4338.466218,0.504892,-0.16111769711111018,0.0015499958004915723,-4870.808072,0.504892
Cr120B360,1800.0,120,360,0.75,-0.01899641699999961,0.0009471550759864277,-4235.469537,0.370371,-0.019105589166665975,0.0017214773527389545,-4124.547388,0.598744,-0.10115370291666655,0.0017214773527389545,-4650.473083,0.598744
Cr80B320,1800.0,80,320,0.8,0.05898130223333396,0.0009098773248723811,-3354.367127,0.290736,0.05933283561111125,0.0017836570837012802,-3261.767747,0.51244,-0.04041716372222254,0.0017836570837012802,-3691.472727,0.51244
Cr81B459,1800.0,81,459,0.85,0.13062780438333363,0.0009469321938662331,-4295.306871,0.414894,0.1314491277962959,0.0017616140239048747,-4170.071057,0.641013,0.018128911629630103,0.0017616140239048747,-4736.376995,0.641013
Cr54B486,1800.0,54,486,0.9,0.20058131681111163,0.0012100109252168127,-4063.132335,0.577082,0.2016765172962963,0.0019157526046552742,-3937.775663,0.724632,0.07977973985185195,0.0019157526046552742,-4487.589242,0.724632
