P_GPa,T_K,x_B,n_frames,k,S_cc,weight
0,1200,0.1,1251,0.27,0.05381649229,1.414213562
0,1200,0.1,1251,0.42,0.02416085347,1.414213562
0,1200,0.1,1251,0.5,0.06345675523,2.449489743
0,1200,0.1,1251,0.55,0.08966641617,1.414213562
0,1200,0.1,1251,0.57,0.02897247234,2
0,1200,0.1,1251,0.65,0.06136058415,2
0,1200,0.1,1251,0.69,0.07425363158,2
0,1200,0.1,1251,0.71,0.03944422462,2.828427125
0,1200,0.1,1251,0.74,0.04832369018,2
0,1200,0.1,1251,0.82,0.0985519086,1.414213562
0,1200,0.1,1251,0.85,0.07516937012,3.16227766
0,1200,0.1,1251,0.89,0.07260036024,2
0,1200,0.1,1251,0.92,0.0605105953,2
0,1200,0.1,1251,0.96,0.0789634862,2
0,1200,0.1,1251,0.98,0.08359273465,2
0,1200,0.1,1251,0.99,0.02987698,1.414213562
0,1200,0.1,1251,1.01,0.06572714291,2
0,1200,0.1,1251,1.02,0.08393962298,2.828427125
0,1200,0.1,1251,1.03,0.07203534035,2
0,1200,0.1,1251,1.05,0.06521842859,2.828427125
0,1200,0.1,1251,1.08,0.05867645328,2
0,1200,0.1,1251,1.09,0.1662748103,1.414213562
0,1200,0.1,1251,1.11,0.04713988118,2.828427125
0,1200,0.1,1251,1.12,0.05733308617,2.828427125
0,1200,0.1,1251,1.13,0.07108096904,2
0,1200,0.1,1251,1.17,0.05799672145,2
0,1200,0.1,1251,1.18,0.07843236697,2
0,1200,0.1,1251,1.2,0.0463295935,2
0,1200,0.1,1251,1.21,0.07949850095,2.828427125
0,1200,0.1,1251,1.27,0.06119143649,3.16227766
0,1200,0.1,1251,1.28,0.1223813357,2.828427125
0,1200,0.1,1251,1.29,0.07956182039,2
0,1200,0.1,1251,1.3,0.07756614704,2.828427125
0,1200,0.1,1251,1.33,0.07703060593,2.828427125
0,1200,0.1,1251,1.35,0.08013138016,2.828427125
0,1200,0.1,1251,1.36,0.1218818034,2
0,1200,0.1,1251,1.38,0.09360799617,2.828427125
0,1200,0.1,1251,1.39,0.0877561525,2.828427125
0,1200,0.1,1251,1.41,0.06667117856,2.828427125
0,1200,0.1,1251,1.47,0.06316894643,4.472135955
0,1200,0.1,1251,1.49,0.1077911474,1.414213562
0,1200,0.1,1251,1.51,0.07191787548,2.828427125
0,1200,0.1,1251,1.53,0.06551020364,2.828427125
0,1200,0.1,1251,1.54,0.07186385363,2.828427125
0,1200,0.1,1251,1.55,0.06236277897,2
0,1200,0.1,1251,1.57,0.1429546525,2.828427125
0,1200,0.1,1251,1.58,0.08336133476,2
0,1200,0.1,1251,1.59,0.08624285126,2.828427125
0,1200,0.1,1251,1.61,0.05799728203,2
0,1200,0.1,1251,1.63,0.08064885455,2.828427125
0,1200,0.1,1251,1.64,0.1043880509,2.828427125
0,1200,0.1,1251,1.67,0.1101594241,2
