P_GPa,T_K,x_B,n_frames,n_fit_points,kmax_fit,a_Scc0,a_ci025,a_ci50,a_ci975,b,b_ci025,b_ci50,b_ci975,rmse,bootstrap_success,bootstrap_failures
0,1500,0.10,1251,10,0.8,0.1032855049,0.06657954839,0.1023691362,0.2023506759,1.323508432,7.347226236e-14,1.391531019,6.276682075,0.02405773859,500,0
0,1800,0.10,1251,10,0.8,0.08241274935,0.06389714411,0.08189636816,0.1249752675,0.5755806796,7.71623731e-15,0.6022621537,2.288225032,0.01245712606,500,0
0,1500,0.20,1251,6,0.8,0.05984122279,0.04869287031,0.06501816204,0.2357298243,5.541597503e-15,4.280902462e-18,9.841750751e-11,6.432488825,0.01737945807,500,0
0,1800,0.20,1251,6,0.8,0.08015547394,0.07423312835,0.08316749516,0.1041476441,1.734248738e-13,9.486475922e-18,0.002784532856,0.6771755923,0.009251446316,500,0
0,1500,0.30,1251,9,0.8,0.05401365969,0.04847687705,0.05664361177,0.08314683381,1.183711058e-14,9.460272074e-18,0.0193256405,1.406552424,0.01265328155,500,0
0,1800,0.30,1251,9,0.8,0.06451231865,0.05957213124,0.06690677393,0.08329244528,2.884070712e-16,1.930087087e-17,5.604986921e-10,0.8613670749,0.009641133558,500,0
0,1500,0.40,1251,9,0.8,0.0456306502,0.037665943,0.04821757194,0.0776232147,9.266139359e-16,1.254475624e-17,0.007659347518,1.928261138,0.01488025491,500,0
0,1800,0.40,1251,9,0.8,0.06265164555,0.05231812333,0.06558085218,0.1383904704,0.08611298763,7.706059704e-18,0.08591621566,3.250646451,0.02137012985,500,0
0,1500,0.50,1251,8,0.8,0.03929825862,0.0363102491,0.04071062863,0.05141033386,7.279596068e-10,2.12085585e-17,7.166897431e-10,0.8117254644,0.005066646035,500,0
0,1800,0.50,1251,8,0.8,0.05726659735,0.05296485614,0.05895628669,0.07499399986,3.656396467e-16,1.813910078e-17,9.606427086e-11,0.8408454845,0.007659865233,500,0
0,1500,0.60,1251,8,0.8,0.06404926574,0.05392311151,0.06822111632,0.1072925776,9.744431138e-17,1.33741072e-18,9.971434439e-11,1.942422633,0.01747769244,500,0
0,1800,0.60,1251,8,0.8,0.07520528875,0.07139117403,0.07701785691,0.08972632731,2.45850033e-10,1.656158774e-17,2.345071409e-10,0.5331769225,0.007790495629,500,0
0,1500,0.70,1251,7,0.8,0.4080926581,0.1950413145,0.4020496945,3.012653748,7.676577994,1.851332331,7.248424437,82.28945801,0.02579842252,500,0
0,1800,0.70,1251,5,0.8,0.1210381746,0.09099734029,0.121167672,0.1665961928,0.8792913591,9.990443891e-12,0.8448620617,2.475225359,0.01280855107,500,0
0,1500,0.75,1251,10,0.8,0.1595272634,0.1153962221,0.155941188,0.2632420786,1.174829666,0.004580057293,1.19079225,3.791045964,0.02826778845,500,0
0,1800,0.75,1251,10,0.8,0.106261672,0.08616483359,0.1068807484,0.1592693063,0.368156359,1.158974813e-17,0.3686303495,2.058844236,0.02183126063,500,0
0,1500,0.80,1251,9,0.8,1.429913487,0.4733270581,1.240912195,4718337.636,12.24460259,1.522137489,10.31073822,53603029.46,0.1833212124,500,0
0,1800,0.80,1251,9,0.8,0.09497018969,0.08643872965,0.09880304007,0.1255187871,2.167534235e-18,4.43169768e-22,0.006542157027,0.7893112822,0.01743288203,500,0
0,1500,0.85,1251,8,0.8,0.6333961059,0.1993916081,0.5917502146,5124019.03,4.593295412,1.597961443e-18,4.712353925,56296785.73,0.2502341188,500,0
0,1800,0.85,1251,10,0.8,0.08297564458,0.07292005505,0.08752389708,0.1237879808,1.549950444e-12,1.380339766e-20,2.923122487e-10,1.230265792,0.02600205503,500,0
0,1500,0.90,1251,8,0.8,13002322.22,0.8195395894,13009587.53,35791158.35,154189077.1,3.665755195,175962271.3,342405507.4,0.3682201756,500,0
0,1800,0.90,1251,9,0.8,4406933.5,3945000.163,4434066.829,5908327.288,104504890.7,100187873.5,107825297.9,142603424.8,0.1106034429,500,0
10,1500,0.10,1251,10,0.8,0.08470200115,0.05313345039,0.08999407224,0.7584964761,0.3956694824,2.693616035e-19,0.4045311722,31.4590332,0.05509305798,500,0
10,1800,0.10,1251,10,0.8,0.06634059902,0.05850831303,0.07023096785,0.1025277145,6.38200202e-14,1.405348592e-17,9.204241496e-11,1.568982585,0.01942021566,500,0
10,1500,0.20,1251,4,0.8,0.2309051286,0.1162801631,0.2363292987,1.189901913,3.828190922,0.7801458135,3.911020459,30.89218539,0.01078483107,500,0
10,1800,0.20,1251,6,0.8,0.06969052119,0.06309589841,0.07284841365,0.1074486605,1.053633977e-13,9.492342139e-18,2.533791598e-06,1.201231683,0.009725185479,500,0
10,1500,0.30,1251,8,0.8,0.05429818562,0.03951474017,0.05625773219,0.1335928533,0.4803634516,1.22781965e-16,0.5581909481,5.680121183,0.01818785979,500,0
10,1800,0.30,1251,9,0.8,0.05744328239,0.05199968962,0.05972227284,0.07848723692,2.213950069e-11,5.827963693e-17,0.002116608307,0.9731516543,0.01114187864,500,0
10,1500,0.40,1251,8,0.8,0.04245352737,0.03551649146,0.04630819309,0.07810159909,2.368333257e-17,4.539645482e-18,0.04427403601,2.157706155,0.01311630804,500,0
10,1800,0.40,1251,9,0.8,0.04611939932,0.0422926443,0.04753145084,0.06180331817,1.089165642e-11,5.506222377e-18,9.44080819e-11,0.7712802353,0.008259177919,500,0
10,1500,0.50,1251,8,0.8,0.03634931991,0.03095651017,0.03928769699,0.06515126939,3.946442133e-14,3.639964391e-17,0.02735155474,2.268861044,0.008936706288,500,0
10,1800,0.50,1251,8,0.8,0.05175061198,0.04430979669,0.05495846363,0.08846018796,1.625769389e-14,1.124577679e-17,0.04268930958,2.189571454,0.01452499843,500,0
10,1500,0.60,1251,8,0.8,0.05056293533,0.0431946145,0.05465164176,0.0845688932,2.487608966e-11,2.685147655e-17,2.924614611e-10,1.781286392,0.01286688816,500,0
10,1800,0.60,1251,8,0.8,0.0600668636,0.05333833916,0.06308961957,0.08820648878,2.116765866e-16,2.163900189e-17,0.003545157106,1.275860991,0.01292527606,500,0
10,1500,0.70,1251,6,0.8,0.07560161053,0.060003475,0.08309668355,0.1887808273,2.338914379e-13,4.470496658e-19,0.1219410585,4.246778317,0.02769232341,500,0
10,1800,0.70,1251,6,0.8,0.07762654272,0.06941046678,0.07839575274,0.1044249689,0.1014914698,2.761396636e-17,0.07670350638,1.139992525,0.009798474529,500,0
10,1500,0.75,1251,9,0.8,0.09062900309,0.07023878704,0.09848274933,0.2271421701,9.098506118e-14,4.45856037e-21,9.707560776e-11,5.777957444,0.04287175213,500,0
10,1800,0.75,1251,9,0.8,0.08138940347,0.07475594625,0.08376462737,0.111875507,7.935632949e-16,1.232377797e-17,3.068462254e-10,0.9762717486,0.01315920904,500,0
10,1500,0.80,1251,7,0.8,0.1390270077,0.0753929924,0.1489125923,0.3409961994,1.544651039,1.494791407e-16,1.614917054,10.87432997,0.03632402907,500,0
10,1800,0.80,1251,7,0.8,0.08195165181,0.06809177848,0.0814706429,0.1127583746,0.1900546667,2.013810279e-17,0.1681433576,1.234274632,0.014015177,500,0
10,1500,0.85,1251,8,0.8,0.1445976681,0.05587329895,0.1534393407,201.6538869,3.383524967,4.2880094e-16,3.672695854,12285.88264,0.04447679697,500,0
10,1800,0.85,1251,7,0.8,0.07002131426,0.06281355957,0.07410047201,0.09999062979,3.583145169e-11,1.01910338e-17,0.02617240438,1.537364356,0.01594103245,500,0
10,1500,0.90,1251,8,0.8,0.06719400778,0.03836480628,0.07396309327,545.2527464,0.1044333148,7.724055386e-20,9.052526536e-11,23079.75373,0.04912803375,500,0
10,1800,0.90,1251,7,0.8,0.05414778069,0.04792487898,0.05650239274,0.08363952855,6.328944344e-17,1.60353138e-17,9.803847063e-11,1.723530674,0.01251732061,500,0
