formula,temperature_K,Fe_count,B_count,x_B,Free_norm_eV_per_atom,Free_norm_err_eV_per_atom
Fe324B36,1500.0,324,36,0.1,0.049855298255553904,0.0010096790733062353
Fe128B32,1500.0,128,32,0.2,-0.04335857593333259,0.0016802329783510677
Fe252B108,1500.0,252,108,0.3,-0.11482363901111196,0.0011480931130173372
Fe216B144,1500.0,216,144,0.4,-0.1551515909777783,0.001358750814067102
Fe200B200,1500.0,200,200,0.5,-0.14108565683333382,0.0014121986567013378
Fe160B240,1500.0,160,240,0.6,-0.06614406880000104,0.0014837764562616903
Fe120B280,1500.0,120,280,0.7,0.02281482173333302,0.0015362129708092437
Fe135B405,1500.0,135,405,0.75,0.06298290121296254,0.0014544948700465415
Fe72B288,1500.0,72,288,0.8,0.0931668511555554,0.0018517339214569335
Fe81B459,1500.0,81,459,0.85,0.10944339369074003,0.0018621529904989885
Fe54B486,1500.0,54,486,0.9,0.11803283252222206,0.0024620959566057665
Fe324B36,1800.0,324,36,0.1,0.04770368832222371,0.0015922400139657831
Fe128B32,1800.0,128,32,0.2,-0.02876303429999876,0.00217433374043616
Fe252B108,1800.0,252,108,0.3,-0.1066699930333341,0.001556228771877944
Fe216B144,1800.0,216,144,0.4,-0.14154449759999907,0.0016490623827662245
Fe200B200,1800.0,200,200,0.5,-0.13088599799999998,0.001496918686305001
Fe160B240,1800.0,160,240,0.6,-0.0746486583999996,0.0015991711452200137
Fe120B280,1800.0,120,280,0.7,0.006765728700000295,0.001639933078256234
Fe135B405,1800.0,135,405,0.75,0.04911383225000076,0.0016504940911357372
Fe72B288,1800.0,72,288,0.8,0.09296516191111172,0.0018763849117904774
Fe81B459,1800.0,81,459,0.85,0.13439675453518485,0.0017925900417286563
Fe54B486,1800.0,54,486,0.9,0.1718552564185184,0.0019297621912932725
