P_GPa,T_K,x_B,G_second_eV_per_atom,sigma_second_eV_per_atom,lower_1sigma,upper_1sigma
0,1500,0.1,-8.671629325771985,5.930577691067538,-14.602207016839522,-2.741051634704447
0,1500,0.101,-8.553868516201678,5.872627800015698,-14.426496316217376,-2.6812407161859806
0,1500,0.10200000000000001,-8.436668843395204,5.815008752851253,-14.251677596246456,-2.6216600905439504
0,1500,0.10300000000000001,-8.320029314889702,5.757719834492725,-14.077749149382427,-2.5623094803969764
0,1500,0.10400000000000001,-8.203948938222329,5.700760332034274,-13.904709270256603,-2.503188606188055
0,1500,0.10500000000000001,-8.088426720930244,5.6441295348081235,-13.732556255738366,-2.44429718612212
0,1500,0.10600000000000001,-7.973461670550588,5.587826734449088,-13.561288404999676,-2.3856349361015
0,1500,0.10700000000000001,-7.859052794620521,5.531851224961317,-13.390904019581837,-2.327201569659204
0,1500,0.10800000000000001,-7.74519910067718,5.476202302787287,-13.221401403464466,-2.2689967978898933
0,1500,0.10900000000000001,-7.631899596257735,5.4208792668792,-13.052778863136936,-2.2110203293785355
0,1500,0.11,-7.519153288899325,5.365881418772797,-12.885034707672123,-2.1532718701265283
0,1500,0.111,-7.406959186139108,5.311208062663771,-12.718167248802878,-2.0957511234753374
0,1500,0.112,-7.29531629551423,5.256858505486812,-12.55217480100104,-2.038457790027418
0,1500,0.113,-7.184223624561845,5.202832056997437,-12.387055681559282,-1.9813915675644083
0,1500,0.114,-7.073680180819103,5.14912802985667,-12.222808210675773,-1.924552150962433
0,1500,0.115,-6.963684971823156,5.0957457397187484,-12.059430711541903,-1.8679392321044075
0,1500,0.116,-6.854237005111155,5.0426845053219,-11.896921510433057,-1.8115524997892551
0,1500,0.117,-6.745335288220257,4.989943648582395,-11.735278936802652,-1.7553916396378622
0,1500,0.11800000000000001,-6.636978828687603,4.937522494691934,-11.574501323379536,-1.699456333995669
0,1500,0.11900000000000001,-6.529166634050352,4.885420372218571,-11.414587006268924,-1.6437462618317804
0,1500,0.12000000000000001,-6.421897711845652,4.83363661321127,-11.25553432505692,-1.5882610986343826
0,1500,0.12100000000000001,-6.315171069610656,4.782170553308261,-11.097341622918918,-1.533000516302395
0,1500,0.122,-6.208985714882516,4.73102153184936,-10.940007246731877,-1.4779641830331558
0,1500,0.123,-6.10334065519838,4.680188891992415,-10.783529547190795,-1.423151763205965
0,1500,0.124,-5.998234898095401,4.629671980834033,-10.627906878929434,-1.368562917261368
0,1500,0.125,-5.893667451110733,4.579470149534791,-10.473137600645526,-1.314197301575942
0,1500,0.126,-5.789637321781523,4.529582753449103,-10.319220075230625,-1.2600545683324205
0,1500,0.127,-5.6861435176449255,4.480009152259951,-10.166152669904877,-1.2061343653849743
0,1500,0.128,-5.583185046238089,4.430748710118678,-10.013933756356767,-1.1524363361194112
0,1500,0.129,-5.48076091509817,4.38180079579006,-9.86256171088823,-1.09896011930811
0,1500,0.13,-5.378870131762312,4.333164782802887,-9.7120349145652,-1.0457053489594248
0,1500,0.131,-5.277511703767672,4.284840049606289,-9.56235175337396,-0.9926716541613834
0,1500,0.132,-5.176684638651398,4.23682597973204,-9.413510618383437,-0.9398586589193583
0,1500,0.133,-5.07638794395065,4.189121961963135,-9.265509905913785,-0.8872659819875146
0,1500,0.134,-4.976620627202575,4.141727390508859,-9.118348017711433,-0.8348932366937154
0,1500,0.135,-4.877381695944315,4.094641665186691,-8.972023361131006,-0.7827400307576244
0,1500,0.136,-4.778670157713027,4.047864191611284,-8.82653434932431,-0.7308059661017428
0,1500,0.137,-4.680485020045868,4.001394381390889,-8.681879401436756,-0.6790906386549791
0,1500,0.138,-4.582825290479981,3.9552316523314968,-8.538056942811478,-0.6275936381484843
0,1500,0.139,-4.485689976552528,3.909375428649085,-8.395065405201613,-0.5763145479034435
0,1500,0.14,-4.389078085800644,3.8638251411902957,-8.25290322699094,-0.5252529446103487
0,1500,0.14100000000000001,-4.292988625761502,3.818580227661957,-8.11156885342346,-0.47440839809954527
0,1500,0.14200000000000002,-4.197420603972233,3.7736401328697857,-7.971060736842019,-0.42378047110244754
0,1500,0.14300000000000002,-4.102373027970003,3.7290043089667724,-7.831377336936775,-0.3733687190032309
0,1500,0.14400000000000002,-4.007844905291954,3.6846722157115783,-7.692517121003532,-0.3231726895803755
0,1500,0.14500000000000002,-3.913835243475244,3.6406433207375026,-7.554478564212747,-0.2731919227377415
0,1500,0.14600000000000002,-3.820343050057012,3.5969170998323983,-7.41726014988941,-0.22342595022461387
0,1500,0.14700000000000002,-3.7273673325744276,3.5534930372301434,-7.2808603698045715,-0.17387429534428422
0,1500,0.14800000000000002,-3.634907098564625,3.5103706259140766,-7.145277724478701,-0.12453647265054846
0,1500,0.14900000000000002,-3.5429613555647705,3.467549367933055,-7.010510723497825,-0.07541198763171542
0,1500,0.15000000000000002,-3.451529111112002,3.425028774730631,-6.876557885842633,-0.02650033638137117
0,1500,0.15100000000000002,-3.3606093727434825,3.382808367488005,-6.743417740231488,0.022198994744522693
0,1500,0.15200000000000002,-3.2702011479963566,3.340887677481353,-6.61108882547771,0.07068652948499654
0,1500,0.153,-3.1803034444077767,3.2992662464542284,-6.4795696908620055,0.11896280204645171
0,1500,0.154,-3.090915269514891,3.2579436270056883,-6.348858896520579,0.16702835749079714
0,1500,0.155,-3.002035630854863,3.216919382994945,-6.218955013849808,0.21488375214008215
0,1500,0.156,-2.9136635359648295,3.1761930899632222,-6.089856625928052,0.26252955399839273
0,1500,0.157,-2.8257979923819434,3.1357643355737075,-5.961562327955651,0.3099663431917641
0,1500,0.158,-2.738438007643367,3.095632720070377,-5.834070727713744,0.3571947124270096
0,1500,0.159,-2.651582589286246,3.0557978567566053,-5.707380446042851,0.4042152674703594
0,1500,0.16,-2.565230744847721,3.0162593724944773,-5.581490117342199,0.45102862764675633
0,1500,0.161,-2.479381481864964,2.9770169082257865,-5.456398390090751,0.4976354263608225
0,1500,0.162,-2.3940338078751093,2.93807011951569,-5.332103927390799,0.5440363116405806
0,1500,0.163,-2.3091867304153197,2.899418677120145,-5.208605407535465,0.5902319467048254
0,1500,0.164,-2.224839257022735,2.8610622675781725,-5.085901524600907,0.6362230105554376
0,1500,0.165,-2.1409903952345193,2.8230005938301677,-4.963990989064687,0.6820101985956484
0,1500,0.166,-2.057639152587809,2.785233375863413,-4.842872528451222,0.7275942232756041
0,1500,0.167,-1.9747845366197687,2.7477603513861393,-4.722544888005908,0.7729758147663706
0,1500,0.168,-1.8924255548675415,2.710581276531367,-4.6030068313989085,0.8181557216638256
0,1500,0.169,-1.8105612148682884,2.673695926592002,-4.48425714146029,0.8631347117237138
0,1500,0.17,-1.729190524159149,2.6371040967885677,-4.366294620947716,0.9079135726294187
0,1500,0.171,-1.6483124902772843,2.6008056030711137,-4.2491180933483985,0.9524931127938294
0,1500,0.17200000000000001,-1.5679261207598376,2.564800282956842,-4.1327264037166795,0.9968741621970043
0,1500,0.173,-1.4880304231439716,2.529087996405126,-4.017118419549098,1.0410575732611544
0,1500,0.174,-1.4086244049668224,2.49366862673154,-3.9022930316983624,1.0850442217647176
0,1500,0.175,-1.3297070737655545,2.4585420815627783,-3.788249155328333,1.1288350077972238
0,1500,0.176,-1.2512774370773077,2.4237082938341548,-3.6749857309114624,1.172430856756847
0,1500,0.177,-1.1733345024392445,2.3891672228316936,-3.562501725270938,1.215832720392449
0,1500,0.178,-1.0958772773885066,2.354918855280677,-3.4507961326691836,1.2590415778921704
0,1500,0.179,-1.0189047694622584,2.3209632064827406,-3.339867975944999,1.3020584370204822
0,1500,0.18,-0.9424159861976324,2.2873003215035177,-3.22971630770115,1.3448843353058852
0,1500,0.181,-0.8664099351317969,2.2539302764130515,-3.1203402115448484,1.3875203412812547
0,1500,0.182,-0.7908856238018895,2.22085317958108,-3.0117388033829697,1.4299675557791907
0,1500,0.183,-0.7158420597450803,2.1880691730295,-2.9039112327745804,1.4722271132844198
0,1500,0.184,-0.6412782504985,2.1555784338442225,-2.7968566843427225,1.5143001833457226
0,1500,0.185,-0.567193203599313,2.1233811756487833,-2.6905743792480963,1.5561879720494702
0,1500,0.186,-0.4935859265846627,2.091477650141985,-2.5850635767266477,1.5978917235573222
0,1500,0.187,-0.4204554269917047,2.0598681487019586,-2.4803235756936632,1.6394127217102539
0,1500,0.188,-0.34780071235759635,2.0285530040589244,-2.3763537164165207,1.680752291701328
0,1500,0.189,-0.27562079021947916,1.9975325920390044,-2.2731533822584833,1.7219118018195252
0,1500,0.19,-0.2039146681145052,1.9668073333813179,-2.170722001495823,1.7628926652668127
0,1500,0.191,-0.13268135357983368,1.9363776956305767,-2.06905904921041,1.803696342050743
0,1500,0.192,-0.06191985415260781,1.9062441951072457,-1.9681640492598536,1.844324340954638
0,1500,0.193,0.008370822630018537,1.8764073989572616,-1.868036576327243,1.8847782215872801
0,1500,0.194,0.07819166923089327,1.8468679272830708,-1.7686762580521775,1.925059596513964
0,1500,0.195,0.1475436781128625,1.8176264553575765,-1.670082777244714,1.965170133470439
0,1500,0.196,0.21642784173878127,1.7886837159222848,-1.5722558741835035,2.005111557661066
0,1500,0.197,0.2848451525714921,1.7600405015706369,-1.4751953489991447,2.0448856541421288
0,1500,0.198,0.35279660307384475,1.7316976672170734,-1.3789010641432287,2.084494270290918
0,1500,0.199,0.42028318570869416,1.703656132651964,-1.2833729469432698,2.123939318360658
0,1500,0.2,0.4873058929388794,1.6759168851818902,-1.1886109922430108,2.16322277812077
0,1500,0.201,0.5538657172272536,1.6484809823541804,-1.0946152651269268,2.202346699581434
0,1500,0.202,0.6199636510366702,1.621349554763734,-1.0013859037270638,2.241313205800404
0,1500,0.203,0.6856006868299733,1.5945238089393408,-0.9089231221093674,2.2801244957693143
0,1500,0.20400000000000001,0.7507778170700075,1.5680050303055484,-0.8172272132355409,2.318782847375556
0,1500,0.20500000000000002,0.815496034219624,1.5417945862150004,-0.7262985519953764,2.3572906204346245
0,1500,0.20600000000000002,0.8797563307416798,1.515893929044667,-0.6361375983029871,2.395650259786347
0,1500,0.20700000000000002,0.943559699099012,1.4903045993478734,-0.5467449002488614,2.4338642984468857
0,1500,0.20800000000000002,1.0069071317544758,1.4650282290520753,-0.45812109729759953,2.471935360806551
0,1500,0.20900000000000002,1.0697996211709153,1.4400665446903502,-0.3702669235194349,2.5098661658612658
0,1500,0.21000000000000002,1.1322381598111875,1.415421370652102,-0.28318321084091447,2.5476595304632896
0,1500,0.21100000000000002,1.1942237401381295,1.3910946324358733,-0.1968708922977438,2.5853183725740028
0,1500,0.21200000000000002,1.2557573546146,1.3670883598840684,-0.11133100526946849,2.622845714498668
0,1500,0.21300000000000002,1.3168399957034378,1.343404690376105,-0.0265646946726672,2.660244686079543
0,1500,0.21400000000000002,1.3774726558675017,1.3200458719526402,0.057426783914861446,2.697518527820142
0,1500,0.21500000000000002,1.437656327569636,1.2970142663394268,0.14064206123020906,2.7346705939090628
0,1500,0.21600000000000003,1.4973920032726902,1.27431235183464,0.2230796514380502,2.77170435510733
0,1500,0.21700000000000003,1.5566806754395088,1.2519427260184801,0.3047379494210287,2.808623401457989
0,1500,0.21800000000000003,1.615523336532945,1.2299081082382053,0.3856152282947398,2.84543144477115
0,1500,0.21900000000000003,1.6739209790158487,1.2082113418157308,0.46570963720011793,2.8821323208315794
0,1500,0.22,1.7318745953510586,1.186855395918269,0.5450191994327895,2.918729991269328
0,1500,0.221,1.7893851780014387,1.1658433670254662,0.6235418109759725,2.955228545026905
0,1500,0.222,1.8464537194298227,1.1451784799189086,0.7012752395109141,2.9916321993487314
0,1500,0.223,1.9030812120990745,1.1248640881118825,0.778217123987192,3.0279453002109573
0,1500,0.224,1.9592686484720296,1.1049036736289766,0.8543649748430531,3.0641723221010064
0,1500,0.225,2.015017021011545,1.0853008460364448,0.9297161749751,3.1003178670479894
0,1500,0.226,2.070327322180461,1.0660593406155483,1.0042679815649125,3.136386662796009
0,1500,0.227,2.1252005444416344,1.0471830155623003,1.078017528879334,3.1723835600039347
0,1500,0.228,2.17963768025791,1.0286758480885811,1.150961832169329,3.2083135283464914
0,1500,0.229,2.2336397220921373,1.0105419292915006,1.2230977928006368,3.244181651383638
0,1500,0.23,2.2872076624071678,0.9927854576506965,1.2944222047564713,3.2799931200578643
0,1500,0.231,2.340342493665844,0.9754107310071549,1.364931762658689,3.315753224672999
0,1500,0.232,2.3930452083310154,0.9584221368726779,1.4346230714583377,3.351467345203693
0,1500,0.233,2.445316798865539,0.9418241409167384,1.5034926579488008,3.3871409397822774
0,1500,0.234,2.497158257732252,0.9256212734777768,1.5715369842544753,3.422779531210029
0,1500,0.23500000000000001,2.5485705773940133,0.9098181139494953,1.638752463444518,3.4583886913435085
0,1500,0.23600000000000002,2.5995547503136613,0.894419272900262,1.7051354774133993,3.4939740232139234
0,1500,0.23700000000000002,2.6501117689540568,0.8794293717957977,1.770682397158259,3.5295411407498545
0,1500,0.23800000000000002,2.700242625778035,0.8648530202128191,1.835389605565216,3.565095645990854
0,1500,0.23900000000000002,2.7499483132484563,0.8506947904546963,1.8992535227937601,3.6006431037031525
0,1500,0.24000000000000002,2.79922982382816,0.8369591895102948,1.962270634317865,3.6361890133384547
0,1500,0.24100000000000002,2.8480881499800024,0.8236506283342605,2.024437521645742,3.6717387783142628
0,1500,0.24200000000000002,2.896524284166828,0.8107733884716628,2.085750895695165,3.707297672638491
0,1500,0.24300000000000002,2.944539218851487,0.7983315861019719,2.146207632749515,3.742870804953459
0,1500,0.24400000000000002,2.992133946496823,0.786329133636871,2.2058048128599523,3.778463080133694
0,1500,0.245,3.0393094595656933,0.7747696990726229,2.2645397604930704,3.8140791586383163
0,1500,0.246,3.0860667505209403,0.7636566633698524,2.3224100871510878,3.8497234138907928
0,1500,0.247,3.13240681182542,0.7529930762100342,2.3794137356153855,3.885399888035454
0,1500,0.248,3.17833063594197,0.742781610556988,2.435549025384982,3.921112246498958
0,1500,0.249,3.223839215333447,0.7330245165306161,2.490814698802831,3.956863731864063
0,1500,0.25,3.2689335424626966,0.7237235751763224,2.5452099672863744,3.992657117639019
0,1500,0.251,3.313614609792568,0.714880052783509,2.5987345570090588,4.028494662576077
0,1500,0.252,3.3578834097859085,0.7064946564669271,2.6513887533189813,4.064378066252836
0,1500,0.253,3.401740934905572,0.6985674917715847,2.703173443133987,4.100308426677157
0,1500,0.254,3.4451881776144004,0.6910980230919596,2.7540901545224408,4.13628620070636
0,1500,0.255,3.4882261303752484,0.6840850377060412,2.804141092669207,4.17231116808129
0,1500,0.256,3.5308557856509584,0.677526614211621,2.8533291714393374,4.208382399862579
0,1500,0.257,3.5730781359043844,0.6714200961142809,2.9016580397901035,4.244498232018666
0,1500,0.258,3.6148941735983717,0.6657620712529534,2.9491321023454184,4.2806562448513255
