P_GPa,T_K,x_B,G_second_eV_per_atom,sigma_second_eV_per_atom,lower_1sigma,upper_1sigma
0,1500,0.1,-8.671629325771992,5.930577691067538,-14.602207016839529,-2.741051634704454
0,1500,0.101,-8.553868516201689,5.872627800015698,-14.426496316217387,-2.6812407161859912
0,1500,0.10200000000000001,-8.436668843395207,5.815008752851253,-14.25167759624646,-2.621660090543954
0,1500,0.10300000000000001,-8.320029314889709,5.757719834492725,-14.077749149382434,-2.5623094803969835
0,1500,0.10400000000000001,-8.203948938222336,5.700760332034275,-13.90470927025661,-2.5031886061880613
0,1500,0.10500000000000001,-8.088426720930249,5.6441295348081235,-13.732556255738373,-2.4442971861221254
0,1500,0.10600000000000001,-7.973461670550591,5.587826734449087,-13.56128840499968,-2.3856349361015043
0,1500,0.10700000000000001,-7.859052794620524,5.531851224961317,-13.390904019581841,-2.3272015696592074
0,1500,0.10800000000000001,-7.745199100677187,5.476202302787287,-13.221401403464473,-2.2689967978899004
0,1500,0.10900000000000001,-7.631899596257744,5.420879266879199,-13.052778863136943,-2.2110203293785453
0,1500,0.11,-7.519153288899334,5.365881418772796,-12.88503470767213,-2.153271870126538
0,1500,0.111,-7.406959186139117,5.311208062663771,-12.718167248802889,-2.0957511234753463
0,1500,0.112,-7.2953162955142385,5.256858505486812,-12.552174801001051,-2.0384577900274268
0,1500,0.113,-7.184223624561854,5.202832056997437,-12.387055681559291,-1.9813915675644171
0,1500,0.114,-7.073680180819112,5.14912802985667,-12.222808210675783,-1.924552150962442
0,1500,0.115,-6.963684971823165,5.095745739718748,-12.059430711541912,-1.8679392321044173
0,1500,0.116,-6.854237005111164,5.0426845053219,-11.896921510433064,-1.811552499789264
0,1500,0.117,-6.745335288220266,4.989943648582395,-11.735278936802661,-1.755391639637871
0,1500,0.11800000000000001,-6.636978828687612,4.937522494691934,-11.574501323379547,-1.6994563339956779
0,1500,0.11900000000000001,-6.529166634050357,4.8854203722185705,-11.414587006268928,-1.6437462618317866
0,1500,0.12000000000000001,-6.421897711845661,4.83363661321127,-11.255534325056932,-1.5882610986343915
0,1500,0.12100000000000001,-6.315171069610667,4.782170553308261,-11.097341622918929,-1.5330005163024056
0,1500,0.122,-6.208985714882523,4.73102153184936,-10.940007246731884,-1.477964183033163
0,1500,0.123,-6.103340655198387,4.680188891992415,-10.783529547190803,-1.423151763205972
0,1500,0.124,-5.998234898095404,4.629671980834033,-10.627906878929437,-1.3685629172613716
0,1500,0.125,-5.8936674511107405,4.579470149534792,-10.473137600645533,-1.3141973015759483
0,1500,0.126,-5.789637321781527,4.529582753449102,-10.319220075230628,-1.260054568332425
0,1500,0.127,-5.686143517644933,4.480009152259951,-10.166152669904884,-1.2061343653849814
0,1500,0.128,-5.583185046238096,4.430748710118678,-10.013933756356774,-1.1524363361194183
0,1500,0.129,-5.480760915098173,4.38180079579006,-9.862561710888233,-1.0989601193081135
0,1500,0.13,-5.378870131762316,4.333164782802887,-9.712034914565203,-1.0457053489594283
0,1500,0.131,-5.277511703767681,4.284840049606288,-9.562351753373969,-0.9926716541613931
0,1500,0.132,-5.176684638651407,4.236825979732039,-9.413510618383446,-0.939858658919368
0,1500,0.133,-5.0763879439506585,4.189121961963135,-9.265509905913794,-0.8872659819875235
0,1500,0.134,-4.976620627202578,4.141727390508859,-9.118348017711437,-0.834893236693719
0,1500,0.135,-4.877381695944321,4.094641665186691,-8.972023361131011,-0.7827400307576298
0,1500,0.136,-4.778670157713034,4.047864191611283,-8.826534349324316,-0.7308059661017507
0,1500,0.137,-4.680485020045873,4.001394381390889,-8.681879401436763,-0.6790906386549844
0,1500,0.138,-4.582825290479986,3.955231652331496,-8.538056942811483,-0.6275936381484906
0,1500,0.139,-4.485689976552534,3.909375428649085,-8.395065405201619,-0.5763145479034488
0,1500,0.14,-4.389078085800653,3.8638251411902957,-8.252903226990949,-0.5252529446103575
0,1500,0.14100000000000001,-4.2929886257615095,3.818580227661957,-8.111568853423467,-0.4744083980995524
0,1500,0.14200000000000002,-4.197420603972239,3.7736401328697857,-7.971060736842024,-0.42378047110245287
0,1500,0.14300000000000002,-4.10237302797001,3.729004308966772,-7.831377336936782,-0.3733687190032384
0,1500,0.14400000000000002,-4.007844905291957,3.684672215711578,-7.692517121003535,-0.3231726895803795
0,1500,0.14500000000000002,-3.9138352434752495,3.6406433207375026,-7.5544785642127525,-0.27319192273774684
0,1500,0.14600000000000002,-3.8203430500570192,3.5969170998323983,-7.417260149889417,-0.22342595022462097
0,1500,0.14700000000000002,-3.727367332574431,3.5534930372301434,-7.280860369804575,-0.17387429534428778
