formula,temperature_K,x_B,PotEng_norm_eV_per_atom,PotEng_norm_err_eV_per_atom
Fe324B36,1500.0,0.1,0.13015543598333354,0.0006710060239414904
Fe128B32,1500.0,0.2,0.06822716902222226,0.000972709428555907
Fe252B108,1500.0,0.3,0.01702891594999932,0.0008259073957604844
Fe216B144,1500.0,0.4,0.002074594822222606,0.0010022036311627429
Fe200B200,1500.0,0.5,0.055936309805556444,0.0007462033221033694
Fe160B240,1500.0,0.6,0.15034654006666698,0.000661617062163508
Fe120B280,1500.0,0.7,0.22801516282777812,0.0007433947852582002
Fe135B405,1500.0,0.75,0.2555368042083341,0.0006847367818714719
Fe72B288,1500.0,0.8,0.20027964364444542,0.004013223897540145
Fe81B459,1500.0,0.85,0.1910949108583332,0.0038104207477213307
Fe54B486,1500.0,0.9,0.13228717622037123,0.001157631580863878
