B_index,x_A,y_A,z_A,coordination_B
1,9.966472,6.335005,2.705481,5
2,6.184472,4.032719,-0.079243,6
3,5.210664,2.394019,21.481727,6
4,6.323208,9.203305,0.591538,5
5,8.975726,6.191886,4.255581,5
6,0.573236,7.573519,5.892757,5
7,10.189756,10.739991,1.807876,6
8,10.078166,7.947423,0.463462,6
9,9.178964,0.297705,2.259900,6
10,2.155092,3.553409,1.946110,6
11,6.606408,3.699809,1.985238,6
12,9.564364,3.510405,2.169419,6
13,7.596244,8.797765,1.809520,6
14,10.279620,9.298809,3.022238,6
15,9.120380,5.089145,1.669043,6
16,9.948008,9.689291,0.370181,6
17,10.667253,4.006991,3.906438,5
18,8.016908,4.862980,4.202376,6
19,8.871786,5.157914,-0.065938,6
20,7.991772,4.172614,2.677650,6
21,8.272853,0.092423,4.009381,6
22,10.451580,7.793690,2.159481,6
23,5.477892,4.905914,1.379170,6
24,10.733264,4.828123,2.442919,5
25,4.998256,3.664170,2.957638,5
26,9.222628,9.097886,1.686557,6
27,6.846180,0.926472,4.283881,4
28,5.576172,2.112909,2.432881,4
29,0.516689,8.539291,2.920519,6
30,8.268492,1.872791,4.953819,6
31,6.874420,7.670409,0.376357,6
32,4.059272,7.953370,1.594710,4
33,-0.204564,1.853491,0.426319,5
34,8.195880,6.039595,2.800781,6
35,5.215120,6.269972,4.769390,5
36,0.435083,7.782114,1.011781,6
37,7.036280,7.243009,2.437820,6
38,2.113872,6.068709,3.659881,3
39,8.922120,3.314505,3.962281,7
40,3.859872,4.313100,1.738438,5
41,1.233017,9.371586,1.558190,6
42,5.454844,6.652191,1.735000,6
43,9.558850,9.313395,4.483919,6
44,0.274720,10.383891,2.520919,6
45,5.166960,4.495486,4.472081,5
46,9.609689,4.686965,5.125281,5
47,1.331564,6.259491,0.563219,5
48,1.199208,3.056370,0.256738,5
49,1.449389,1.542886,1.030562,6
50,6.736808,8.793986,3.389438,6
51,0.098264,10.636786,0.809381,6
