temperature_K,composition,pressure,sixfold_fraction_mean,sixfold_fraction_sem,poteng_norm_0gpa
1200.0,Fe160B240,0 GPa,0.01416667,0.00264983,0.09527389
1200.0,Fe160B240,10 GPa,0.02375000,0.00323047,0.09527389
1200.0,Fe120B280,0 GPa,0.08535714,0.00659507,0.14905109
1200.0,Fe120B280,10 GPa,0.12500000,0.00502262,0.14905109
1200.0,Fe135B405,0 GPa,0.18419753,0.00423209,0.16374948
1200.0,Fe135B405,10 GPa,0.20740741,0.00310147,0.16374948
1200.0,Fe72B288,0 GPa,0.37708333,0.00311426,0.09981556
1200.0,Fe72B288,10 GPa,0.26388889,0.01104096,0.09981556
1200.0,Fe81B459,0 GPa,0.47211329,0.00319948,0.11142462
1200.0,Fe81B459,10 GPa,0.41764706,0.00301270,0.11142462
1200.0,Fe54B486,0 GPa,0.65185185,0.00338517,0.10176907
1200.0,Fe54B486,10 GPa,0.51893004,0.00532865,0.10176907
1500.0,Fe160B240,0 GPa,0.01250000,0.00270744,0.15034654
1500.0,Fe160B240,10 GPa,0.01875000,0.00128049,0.15034654
1500.0,Fe120B280,0 GPa,0.07785714,0.00415133,0.22801516
1500.0,Fe120B280,10 GPa,0.09821429,0.00346058,0.22801516
1500.0,Fe135B405,0 GPa,0.12271605,0.00527070,0.25553680
1500.0,Fe135B405,10 GPa,0.18790123,0.00676151,0.25553680
1500.0,Fe72B288,0 GPa,0.35555556,0.00839739,0.20027964
1500.0,Fe72B288,10 GPa,0.25625000,0.00873517,0.20027964
1500.0,Fe81B459,0 GPa,0.46993464,0.00479578,0.19109491
1500.0,Fe81B459,10 GPa,0.38474946,0.00550393,0.19109491
1500.0,Fe54B486,0 GPa,0.60596708,0.00538529,0.13228718
1500.0,Fe54B486,10 GPa,0.50967078,0.00484062,0.13228718
1800.0,Fe160B240,0 GPa,0.01708333,0.00244144,0.18223414
1800.0,Fe160B240,10 GPa,0.02583333,0.00333333,0.18223414
1800.0,Fe120B280,0 GPa,0.07535714,0.00443682,0.26496871
1800.0,Fe120B280,10 GPa,0.10357143,0.00482106,0.26496871
1800.0,Fe135B405,0 GPa,0.12567901,0.00832416,0.30072568
1800.0,Fe135B405,10 GPa,0.18024691,0.00574955,0.30072568
1800.0,Fe72B288,0 GPa,0.17812500,0.00858434,0.33484697
1800.0,Fe72B288,10 GPa,0.24305556,0.01278398,0.33484697
1800.0,Fe81B459,0 GPa,0.23572985,0.00463642,0.36225310
1800.0,Fe81B459,10 GPa,0.31742919,0.00893010,0.36225310
1800.0,Fe54B486,0 GPa,0.51728395,0.00831122,0.30377348
1800.0,Fe54B486,10 GPa,0.39094650,0.00604968,0.30377348
