temperature_K,composition,pressure,mean_fraction,sem,n_frames
1200.0,Fe160B240,0 GPa,0.01416667,0.00264983,10
1200.0,Fe160B240,10 GPa,0.02375000,0.00323047,10
1200.0,Fe120B280,0 GPa,0.08535714,0.00659507,10
1200.0,Fe120B280,10 GPa,0.12500000,0.00502262,10
1200.0,Fe135B405,0 GPa,0.18419753,0.00423209,10
1200.0,Fe135B405,10 GPa,0.20740741,0.00310147,10
1200.0,Fe72B288,0 GPa,0.37708333,0.00311426,10
1200.0,Fe72B288,10 GPa,0.26388889,0.01104096,10
1200.0,Fe81B459,0 GPa,0.47211329,0.00319948,10
1200.0,Fe81B459,10 GPa,0.41764706,0.00301270,10
1200.0,Fe54B486,0 GPa,0.65185185,0.00338517,10
1200.0,Fe54B486,10 GPa,0.51893004,0.00532865,10
1500.0,Fe160B240,0 GPa,0.01250000,0.00270744,10
1500.0,Fe160B240,10 GPa,0.01875000,0.00128049,10
1500.0,Fe120B280,0 GPa,0.07785714,0.00415133,10
1500.0,Fe120B280,10 GPa,0.09821429,0.00346058,10
1500.0,Fe135B405,0 GPa,0.12271605,0.00527070,10
1500.0,Fe135B405,10 GPa,0.18790123,0.00676151,10
1500.0,Fe72B288,0 GPa,0.35555556,0.00839739,10
1500.0,Fe72B288,10 GPa,0.25625000,0.00873517,10
1500.0,Fe81B459,0 GPa,0.46993464,0.00479578,10
1500.0,Fe81B459,10 GPa,0.38474946,0.00550393,10
1500.0,Fe54B486,0 GPa,0.60596708,0.00538529,10
1500.0,Fe54B486,10 GPa,0.50967078,0.00484062,10
1800.0,Fe160B240,0 GPa,0.01708333,0.00244144,10
1800.0,Fe160B240,10 GPa,0.02583333,0.00333333,10
1800.0,Fe120B280,0 GPa,0.07535714,0.00443682,10
1800.0,Fe120B280,10 GPa,0.10357143,0.00482106,10
1800.0,Fe135B405,0 GPa,0.12567901,0.00832416,10
1800.0,Fe135B405,10 GPa,0.18024691,0.00574955,10
1800.0,Fe72B288,0 GPa,0.17812500,0.00858434,10
1800.0,Fe72B288,10 GPa,0.24305556,0.01278398,10
1800.0,Fe81B459,0 GPa,0.23572985,0.00463642,10
1800.0,Fe81B459,10 GPa,0.31742919,0.00893010,10
1800.0,Fe54B486,0 GPa,0.51728395,0.00831122,10
1800.0,Fe54B486,10 GPa,0.39094650,0.00604968,10
