formula,temperature_K,Fe_count,B_count,x_B,Average_PV_eV,Average_PV_err_eV,PV_eV_per_atom,PV_err_eV_per_atom,PV_norm_eV_per_atom,PV_norm_err_eV_per_atom
Fe324B36,1200.0,324,36,0.1,252.140727,0.156505,0.7003909083333333,0.0004347361111111111,0.0017507117499999522,0.0006983095636532473
Fe128B32,1200.0,128,32,0.2,104.278579,0.10585,0.65174111875,0.0006615625,-0.01846679441666672,0.0008316803841369324
Fe252B108,1200.0,252,108,0.3,217.37565,0.165437,0.60382125,0.0004595472222222222,-0.037954379750000024,0.0006626370322092996
Fe216B144,1200.0,216,144,0.4,201.548397,0.180097,0.5598566583333333,0.0005002694444444445,-0.053486688,0.0006859598228639749
Fe200B200,1200.0,200,200,0.5,207.088709,0.221133,0.5177217725,0.0005528325,-0.0671892904166667,0.0007326340263840198
Fe160B240,1200.0,160,240,0.6,195.538195,0.252404,0.4888454875,0.00063101,-0.06763329199999997,0.0008115727035606553
Fe120B280,1200.0,120,280,0.7,188.66286,0.284851,0.47165714999999997,0.0007121275000000001,-0.056389346083333326,0.0009030173344466288
Fe135B405,1200.0,135,405,0.75,250.318352,0.313377,0.4635525037037037,0.0005803277777777778,-0.05027785067129629,0.0008221605521533902
Fe72B288,1200.0,72,288,0.8,164.468007,0.266516,0.456855575,0.0007403222222222221,-0.04275863766666666,0.0009605832224465199
Fe81B459,1200.0,81,459,0.85,246.651575,0.344813,0.45676217592592594,0.0006385425925925926,-0.028635895032407387,0.0009069056426270409
Fe54B486,1200.0,54,486,0.9,245.827163,0.346405,0.45523548703703703,0.0006414907407407408,-0.015946442212962958,0.0009332589227783436
Fe324B36,1500.0,324,36,0.1,255.652416,0.195256,0.7101455999999999,0.0005423777777777779,0.0042446058333333505,0.0006972939803691709
Fe128B32,1500.0,128,32,0.2,105.376236,0.163935,0.658601475,0.00102459375,-0.01839941333333328,0.0011210250300011802
Fe252B108,1500.0,252,108,0.3,220.398009,0.229555,0.6122166916666667,0.0006376527777777778,-0.03588409083333332,0.0008167344113836554
Fe216B144,1500.0,216,144,0.4,204.380205,0.270325,0.5677227916666666,0.0007509027777777777,-0.05147788500000002,0.000957365148753348
Fe200B200,1500.0,200,200,0.5,211.776306,0.30517,0.529440765,0.000762925,-0.06085980583333327,0.0010323160169749513
Fe160B240,1500.0,160,240,0.6,200.670948,0.361973,0.50167737,0.0009049325,-0.05972309499999994,0.0012133190569678734
Fe120B280,1500.0,120,280,0.7,192.815777,0.343447,0.48203944249999997,0.0008586175000000001,-0.050460916666666654,0.001264425783184124
Fe135B405,1500.0,135,405,0.75,256.2658,0.385917,0.4745662962962963,0.0007146611111111111,-0.04348400995370364,0.0012210453842597868
Fe72B288,1500.0,72,288,0.8,167.711524,0.30259,0.46586534444444444,0.0008405277777777778,-0.03773490888888891,0.0013472317858416942
Fe81B459,1500.0,81,459,0.85,248.971867,0.373383,0.461059012962963,0.00069145,-0.028091187453703665,0.0013132620800930409
Fe54B486,1500.0,54,486,0.9,247.946426,0.373339,0.45916004814814815,0.0006913685185185185,-0.015540099351851843,0.0013682926229131329
Fe324B36,1800.0,324,36,0.1,259.459402,0.350387,0.7207205611111112,0.0009732972222222222,0.007289090816666742,0.0012884802918419998
Fe128B32,1800.0,128,32,0.2,107.528068,0.231175,0.672050425,0.00144484375,-0.01202377158888882,0.0016463708410739866
Fe252B108,1800.0,252,108,0.3,224.082838,0.285074,0.6224523277777778,0.0007918722222222222,-0.032264595105555474,0.0011020244960552015
Fe216B144,1800.0,216,144,0.4,209.343193,0.35586,0.5815088694444445,0.0009885,-0.043850779733333276,0.001258294439764246
Fe200B200,1800.0,200,200,0.5,218.00631,0.314743,0.545015775,0.0007868575,-0.05098660047222218,0.0011394898114595092
Fe160B240,1800.0,160,240,0.6,206.224336,0.351876,0.51556084,0.00087969,-0.05108426176666665,0.0012572230683514521
Fe120B280,1800.0,120,280,0.7,197.477832,0.353693,0.49369458,0.0008842324999999999,-0.043593248061111076,0.0013305746459111771
Fe135B405,1800.0,135,405,0.75,261.631031,0.436424,0.4845019092592593,0.0008081925925925925,-0.03810728194907408,0.0013240162474665999
