formula,temperature_K,Average_PotEng_eV,Average_Enthalpy_eV
Fe324B36,1500.0,-2812.328871,-2742.713839
Fe128B32,1500.0,-1241.564945,-1210.784341
Fe252B108,1500.0,-2766.217048,-2696.802632
Fe216B144,1500.0,-2727.799570,-2658.380488
Fe200B200,1500.0,-2961.387315,-2883.988133
Fe160B240,1500.0,-2866.164558,-2788.979643
Fe135B405,1500.0,-3660.155003,-3555.289762
Fe120B280,1500.0,-2762.631553,-2685.074957
Fe81B459,1500.0,-3528.996991,-3424.802421
Fe72B288,1500.0,-2394.632798,-2325.093245
Fe54B486,1500.0,-3517.625063,-3413.295339
