route,species_a,species_b,type_a,type_b,x_A,x_B_pair,rho_A,rho_B_pair,rho_tot,k,S_cc,S_AA,S_AB,S_BB_pair,S_cc0,n_frames,frac_tag,dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.50000000e-01,2.47281270e-01,2.79674954e-02,-3.93832635e-02,6.22356952e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.90000000e-01,5.79211823e-01,7.10666465e-02,-8.58490386e-02,1.08043946e-01,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,2.40000000e-01,2.23675950e-01,2.79237470e-02,-3.22775402e-02,4.10482924e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,2.80000000e-01,2.77999021e-01,3.48166435e-02,-4.00630780e-02,4.96667674e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,2.90000000e-01,1.58347024e-01,1.91634416e-02,-2.36054829e-02,3.26915926e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,3.10000000e-01,1.26475172e-01,1.58452212e-02,-1.80487108e-02,2.39319517e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,3.30000000e-01,4.51839413e-01,5.51279518e-02,-6.73969043e-02,8.58423136e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,3.50000000e-01,1.32885932e-01,1.59526554e-02,-1.99626020e-02,2.82843180e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,3.70000000e-01,1.17794416e-01,1.43244522e-02,-1.73679474e-02,2.47565764e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,3.80000000e-01,1.08573182e-01,1.34152074e-02,-1.57654980e-02,2.13675936e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,4.00000000e-01,5.53080299e-02,6.50645313e-03,-8.25368917e-03,1.43415905e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,4.10000000e-01,1.17080953e-01,1.42540862e-02,-1.72692562e-02,2.42922766e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,4.40000000e-01,9.80063805e-02,1.16809717e-02,-1.47167902e-02,2.22605263e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,4.70000000e-01,1.22982501e-01,1.44710875e-02,-1.87961833e-02,2.82888578e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,4.80000000e-01,1.35389293e-01,1.60659441e-02,-2.05763222e-02,2.99116455e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,4.90000000e-01,1.07545247e-01,1.27890315e-02,-1.62117546e-02,2.43877807e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,5.20000000e-01,6.33588440e-02,7.34607433e-03,-9.65399830e-03,1.65578562e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,5.50000000e-01,7.59944193e-02,9.00436238e-03,-1.13762595e-02,1.83918449e-02,,335,last0.5,SUPERCELL.dump
