x_B,P_GPa,k,S_cc_KBI,S_cc0_KBI
0.6,0,0.0000,1.023568e-01,1.023568e-01
0.6,0,0.0201,1.023760e-01,1.023568e-01
0.6,0,0.0403,1.024337e-01,1.023568e-01
0.6,0,0.0604,1.025296e-01,1.023568e-01
0.6,0,0.0805,1.026636e-01,1.023568e-01
0.6,0,0.1007,1.028352e-01,1.023568e-01
0.6,0,0.1208,1.030441e-01,1.023568e-01
0.6,0,0.1409,1.032897e-01,1.023568e-01
0.6,0,0.1611,1.035714e-01,1.023568e-01
0.6,0,0.1812,1.038885e-01,1.023568e-01
0.6,0,0.2013,1.042404e-01,1.023568e-01
0.6,0,0.2215,1.046263e-01,1.023568e-01
0.6,0,0.2416,1.050455e-01,1.023568e-01
0.6,0,0.2617,1.054971e-01,1.023568e-01
0.6,0,0.2819,1.059805e-01,1.023568e-01
0.6,0,0.3020,1.064948e-01,1.023568e-01
0.6,0,0.3221,1.070395e-01,1.023568e-01
0.6,0,0.3423,1.076138e-01,1.023568e-01
0.6,0,0.3624,1.082173e-01,1.023568e-01
0.6,0,0.3826,1.088495e-01,1.023568e-01
0.6,0,0.4027,1.095100e-01,1.023568e-01
0.6,0,0.4228,1.101986e-01,1.023568e-01
0.6,0,0.4430,1.109153e-01,1.023568e-01
0.6,0,0.4631,1.116601e-01,1.023568e-01
0.6,0,0.4832,1.124333e-01,1.023568e-01
0.6,0,0.5034,1.132352e-01,1.023568e-01
0.6,0,0.5235,1.140665e-01,1.023568e-01
0.6,0,0.5436,1.149280e-01,1.023568e-01
0.6,0,0.5638,1.158207e-01,1.023568e-01
0.6,0,0.5839,1.167457e-01,1.023568e-01
0.6,0,0.6040,1.177044e-01,1.023568e-01
0.6,0,0.6242,1.186984e-01,1.023568e-01
0.6,0,0.6443,1.197296e-01,1.023568e-01
0.6,0,0.6644,1.207998e-01,1.023568e-01
0.6,0,0.6846,1.219112e-01,1.023568e-01
0.6,0,0.7047,1.230662e-01,1.023568e-01
0.6,0,0.7248,1.242672e-01,1.023568e-01
0.6,0,0.7450,1.255168e-01,1.023568e-01
0.6,0,0.7651,1.268178e-01,1.023568e-01
0.6,0,0.7852,1.281731e-01,1.023568e-01
0.6,0,0.8054,1.295855e-01,1.023568e-01
0.6,0,0.8255,1.310581e-01,1.023568e-01
0.6,0,0.8456,1.325939e-01,1.023568e-01
0.6,0,0.8658,1.341959e-01,1.023568e-01
0.6,0,0.8859,1.358673e-01,1.023568e-01
0.6,0,0.9060,1.376109e-01,1.023568e-01
0.6,0,0.9262,1.394297e-01,1.023568e-01
0.6,0,0.9463,1.413265e-01,1.023568e-01
0.6,0,0.9664,1.433040e-01,1.023568e-01
0.6,0,0.9866,1.453647e-01,1.023568e-01
0.6,0,1.0067,1.475109e-01,1.023568e-01
0.6,0,1.0268,1.497447e-01,1.023568e-01
0.6,0,1.0470,1.520679e-01,1.023568e-01
0.6,0,1.0671,1.544821e-01,1.023568e-01
0.6,0,1.0872,1.569886e-01,1.023568e-01
0.6,0,1.1074,1.595883e-01,1.023568e-01
0.6,0,1.1275,1.622817e-01,1.023568e-01
0.6,0,1.1477,1.650690e-01,1.023568e-01
0.6,0,1.1678,1.679500e-01,1.023568e-01
0.6,0,1.1879,1.709240e-01,1.023568e-01
0.6,0,1.2081,1.739899e-01,1.023568e-01
0.6,0,1.2282,1.771462e-01,1.023568e-01
0.6,0,1.2483,1.803910e-01,1.023568e-01
0.6,0,1.2685,1.837217e-01,1.023568e-01
0.6,0,1.2886,1.871354e-01,1.023568e-01
0.6,0,1.3087,1.906286e-01,1.023568e-01
0.6,0,1.3289,1.941976e-01,1.023568e-01
0.6,0,1.3490,1.978379e-01,1.023568e-01
0.6,0,1.3691,2.015447e-01,1.023568e-01
0.6,0,1.3893,2.053127e-01,1.023568e-01
0.6,0,1.4094,2.091363e-01,1.023568e-01
0.6,0,1.4295,2.130091e-01,1.023568e-01
0.6,0,1.4497,2.169248e-01,1.023568e-01
0.6,0,1.4698,2.208764e-01,1.023568e-01
0.6,0,1.4899,2.248566e-01,1.023568e-01
0.6,0,1.5101,2.288577e-01,1.023568e-01
0.6,0,1.5302,2.328719e-01,1.023568e-01
0.6,0,1.5503,2.368909e-01,1.023568e-01
0.6,0,1.5705,2.409063e-01,1.023568e-01
0.6,0,1.5906,2.449095e-01,1.023568e-01
0.6,0,1.6107,2.488917e-01,1.023568e-01
0.6,0,1.6309,2.528439e-01,1.023568e-01
0.6,0,1.6510,2.567572e-01,1.023568e-01
0.6,0,1.6711,2.606225e-01,1.023568e-01
0.6,0,1.6913,2.644307e-01,1.023568e-01
