T_K,P_GPa,x_B,Gamma,d2gex_over_kBT
1500,0,0.1000,8.713711e-01,-1.429210e+00
1500,0,0.2000,2.673742e+00,1.046089e+01
1500,0,0.3000,3.887905e+00,1.375193e+01
1500,0,0.4000,5.259623e+00,1.774843e+01
1500,0,0.5000,6.361605e+00,2.144642e+01
1500,0,0.6000,3.747116e+00,1.144631e+01
1500,0,0.7000,5.145890e-01,-2.311481e+00
1500,0,0.7500,1.175348e+00,9.351876e-01
1500,0,0.8000,1.118949e-01,-5.550657e+00
1500,0,0.8500,2.012957e-01,-6.264347e+00
1500,0,0.9000,3.652828e-09,-1.111111e+01
1800,0,0.1000,1.092064e+00,1.022934e+00
1800,0,0.2000,1.996121e+00,6.225754e+00
1800,0,0.3000,3.255192e+00,1.073901e+01
1800,0,0.4000,3.830705e+00,1.179461e+01
1800,0,0.5000,4.365547e+00,1.346219e+01
1800,0,0.6000,3.191265e+00,9.130271e+00
1800,0,0.7000,1.734990e+00,3.499951e+00
1800,0,0.7500,1.764512e+00,4.077398e+00
1800,0,0.8000,1.684739e+00,4.279620e+00
1800,0,0.8500,1.536595e+00,4.208592e+00
1800,0,0.9000,1.281186e-08,-1.111111e+01
1500,10,0.1000,1.062549e+00,6.949836e-01
1500,10,0.2000,6.929253e-01,-1.919217e+00
1500,10,0.3000,3.867533e+00,1.365492e+01
1500,10,0.4000,5.653240e+00,1.938850e+01
1500,10,0.5000,6.877708e+00,2.351083e+01
1500,10,0.6000,4.746560e+00,1.561067e+01
1500,10,0.7000,2.777719e+00,8.465327e+00
1500,10,0.7500,2.068874e+00,5.700662e+00
1500,10,0.8000,1.150855e+00,9.428465e-01
1500,10,0.8500,8.817569e-01,-9.273971e-01
1500,10,0.9000,1.339405e+00,3.771168e+00
1800,10,0.1000,1.356635e+00,3.962615e+00
1800,10,0.2000,2.295865e+00,8.099154e+00
1800,10,0.3000,3.655780e+00,1.264657e+01
1800,10,0.4000,5.203884e+00,1.751618e+01
1800,10,0.5000,4.830861e+00,1.532344e+01
1800,10,0.6000,3.995547e+00,1.248145e+01
1800,10,0.7000,2.705260e+00,8.120287e+00
1800,10,0.7500,2.303740e+00,6.953278e+00
1800,10,0.8000,1.952371e+00,5.952316e+00
1800,10,0.8500,1.820874e+00,6.438229e+00
1800,10,0.9000,1.662118e+00,7.356866e+00
