x_B,P_GPa,k,S_cc,S_cc0_M2
0.6,0,0.3700,8.748803e-02,6.404927e-02
0.6,0,0.4300,4.202811e-02,6.404927e-02
0.6,0,0.4500,5.680722e-02,6.404927e-02
0.6,0,0.5600,3.680634e-02,6.404927e-02
0.6,0,0.5800,6.707679e-02,6.404927e-02
0.6,0,0.6200,7.460434e-02,6.404927e-02
0.6,0,0.7200,6.682096e-02,6.404927e-02
0.6,0,0.7400,8.610758e-02,6.404927e-02
0.6,0,0.8500,8.248280e-02,6.404927e-02
0.6,0,0.8600,7.965611e-02,6.404927e-02
0.6,0,0.8900,9.421587e-02,6.404927e-02
0.6,0,0.9300,8.458587e-02,6.404927e-02
0.6,0,0.9600,8.433319e-02,6.404927e-02
0.6,0,0.9900,8.762194e-02,6.404927e-02
0.6,0,1.0300,7.830222e-02,6.404927e-02
0.6,0,1.0500,8.849509e-02,6.404927e-02
0.6,0,1.1100,8.533685e-02,6.404927e-02
0.6,0,1.1300,9.283178e-02,6.404927e-02
0.6,0,1.1600,1.048077e-01,6.404927e-02
0.6,0,1.1900,1.052315e-01,6.404927e-02
0.6,0,1.2000,9.542785e-02,6.404927e-02
0.6,0,1.2100,1.085340e-01,6.404927e-02
0.6,0,1.2300,1.072549e-01,6.404927e-02
0.6,0,1.2700,1.249688e-01,6.404927e-02
0.6,0,1.2800,1.192867e-01,6.404927e-02
0.6,0,1.2900,1.059144e-01,6.404927e-02
0.6,0,1.3300,1.345393e-01,6.404927e-02
0.6,0,1.3400,1.632548e-01,6.404927e-02
0.6,0,1.3500,1.399308e-01,6.404927e-02
0.6,0,1.3900,1.141796e-01,6.404927e-02
0.6,0,1.4000,1.537446e-01,6.404927e-02
0.6,0,1.4200,1.371956e-01,6.404927e-02
0.6,0,1.4400,1.473600e-01,6.404927e-02
0.6,0,1.4500,1.491500e-01,6.404927e-02
0.6,0,1.4700,1.481256e-01,6.404927e-02
0.6,0,1.4800,1.630834e-01,6.404927e-02
0.6,0,1.5300,1.511366e-01,6.404927e-02
0.6,0,1.5400,1.625313e-01,6.404927e-02
0.6,0,1.5600,2.135307e-01,6.404927e-02
0.6,0,1.5800,1.845851e-01,6.404927e-02
0.6,0,1.6000,2.098940e-01,6.404927e-02
0.6,0,1.6300,2.182834e-01,6.404927e-02
0.6,0,1.6600,2.440095e-01,6.404927e-02
0.6,0,1.6900,2.510304e-01,6.404927e-02
0.6,0,1.7000,2.282691e-01,6.404927e-02
0.6,0,1.7100,2.308656e-01,6.404927e-02
0.6,0,1.7200,2.271307e-01,6.404927e-02
0.6,0,1.7300,2.261802e-01,6.404927e-02
0.6,0,1.7400,2.355327e-01,6.404927e-02
0.6,0,1.7500,2.562072e-01,6.404927e-02
0.6,0,1.7600,2.704989e-01,6.404927e-02
0.6,0,1.7800,2.809912e-01,6.404927e-02
0.6,0,1.7900,2.794067e-01,6.404927e-02
0.6,0,1.8000,2.965472e-01,6.404927e-02
0.6,0,1.8200,2.810578e-01,6.404927e-02
0.6,0,1.8300,2.657544e-01,6.404927e-02
0.6,0,1.8500,3.552264e-01,6.404927e-02
0.6,0,1.8600,3.552008e-01,6.404927e-02
0.6,0,1.8700,2.833118e-01,6.404927e-02
0.6,0,1.8800,3.239204e-01,6.404927e-02
0.6,0,1.9100,3.799736e-01,6.404927e-02
0.6,0,1.9200,3.514647e-01,6.404927e-02
0.6,0,1.9300,3.611474e-01,6.404927e-02
0.6,0,1.9500,3.346044e-01,6.404927e-02
0.6,0,1.9600,3.761560e-01,6.404927e-02
