T_K,P_GPa,x_B,k,S_cc,a,b,S_cc0
1500,0,0.1000,0.2700,1.419891e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,0.4200,3.611496e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,0.4900,7.752652e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,0.5000,6.955668e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,0.5400,5.290376e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,0.5600,5.940906e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,0.6500,6.683662e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,0.6900,5.987077e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,0.7000,8.440821e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,0.7300,5.485094e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,0.8100,4.893092e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,0.8400,6.847990e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,0.8800,6.209484e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,0.9200,8.220779e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,0.9500,7.006317e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,0.9700,5.857574e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,0.9800,5.196301e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.0000,5.810226e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.0100,7.414006e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.0200,5.866543e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.0400,6.231091e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.0700,5.982616e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.0800,6.455549e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.1000,7.512140e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.1200,6.922325e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.1600,7.121861e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.1700,6.213202e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.1900,7.321986e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.2000,6.732198e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.2600,7.933912e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.2700,7.388756e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.2800,8.986609e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.2900,7.097545e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.3000,9.047190e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.3200,7.108135e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.3400,6.803657e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.3500,7.541136e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.3700,7.704109e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.3800,8.343755e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.4000,6.706866e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.4600,8.358207e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.4800,5.973833e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.5000,7.628955e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.5200,8.459029e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.5300,8.615274e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.5400,9.289841e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.5600,9.508774e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.5700,9.522602e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.5800,1.099404e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.6000,8.097954e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.6200,8.550555e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.6300,8.914333e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.6600,7.337411e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.6800,8.803700e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.6900,8.799275e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.7000,7.597263e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.7200,9.315422e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.7300,8.389953e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.7400,9.392223e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.7500,9.718804e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.7700,9.454275e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.7800,7.764435e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.8000,8.648106e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.8300,9.822444e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.8700,7.838104e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.8800,9.402508e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.9300,1.087033e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.9400,9.596838e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.9500,1.088741e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.9600,9.888771e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.9700,8.799601e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,1.9900,8.020138e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.0000,9.431932e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.0100,1.156768e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.0200,9.992026e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.0300,9.534551e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.0400,9.876489e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.0600,1.122616e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.0900,9.256297e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.1100,1.012350e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.1300,9.318531e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.1400,1.146092e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.1600,9.217695e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.1700,1.053722e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.2100,9.740432e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.2200,9.719871e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.2300,9.827558e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.2400,1.095422e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.2500,1.051342e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.2600,1.134647e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.2900,1.101630e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.3000,1.174251e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.3400,9.688947e-02,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.3500,1.102996e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.3800,1.061360e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.4000,1.034071e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.4800,1.049555e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.4900,1.051408e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.5800,1.123963e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.5900,1.182938e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.6000,1.069982e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.6500,1.086452e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.7100,1.072892e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.1000,2.8100,1.049713e-01,1.032855e-01,1.323508e+00,1.032855e-01
1500,0,0.2000,0.5000,5.147427e-02,5.984122e-02,5.547528e-15,5.984122e-02
1500,0,0.2000,0.5100,5.961992e-02,5.984122e-02,5.547528e-15,5.984122e-02
1500,0,0.2000,0.5300,3.584182e-02,5.984122e-02,5.547528e-15,5.984122e-02
1500,0,0.2000,0.7200,5.860495e-02,5.984122e-02,5.547528e-15,5.984122e-02
1500,0,0.2000,0.7300,4.612221e-02,5.984122e-02,5.547528e-15,5.984122e-02
1500,0,0.2000,0.7400,9.109034e-02,5.984122e-02,5.547528e-15,5.984122e-02
1500,0,0.2000,0.8900,7.494503e-02,5.984122e-02,5.547528e-15,5.984122e-02
1500,0,0.2000,1.0100,5.005068e-02,5.984122e-02,5.547528e-15,5.984122e-02
1500,0,0.2000,1.0200,1.178297e-01,5.984122e-02,5.547528e-15,5.984122e-02
1500,0,0.2000,1.0600,9.673234e-02,5.984122e-02,5.547528e-15,5.984122e-02
1500,0,0.2000,1.1300,1.046825e-01,5.984122e-02,5.547528e-15,5.984122e-02
1500,0,0.2000,1.1400,1.109297e-01,5.984122e-02,5.547528e-15,5.984122e-02
1500,0,0.2000,1.1500,8.517872e-02,5.984122e-02,5.547528e-15,5.984122e-02
1500,0,0.2000,1.1700,9.194753e-02,5.984122e-02,5.547528e-15,5.984122e-02
1500,0,0.2000,1.2500,8.928178e-02,5.984122e-02,5.547528e-15,5.984122e-02
1500,0,0.2000,1.2600,1.116650e-01,5.984122e-02,5.547528e-15,5.984122e-02
1500,0,0.2000,1.2800,1.184544e-01,5.984122e-02,5.547528e-15,5.984122e-02
1500,0,0.2000,1.4400,1.579834e-01,5.984122e-02,5.547528e-15,5.984122e-02
1500,0,0.2000,1.4600,1.416853e-01,5.984122e-02,5.547528e-15,5.984122e-02
1500,0,0.2000,1.4700,1.053941e-01,5.984122e-02,5.547528e-15,5.984122e-02
